Clapeyron Database File,,,,,
modified UNIFAC 2.0 (Dortmund) Unlike Parameters [csvtype = unlike,grouptype = UNIFACDortmund],,,,
CH3NH~|~CH2NH~|~CHNH,CF3~|~CF2~|~CF,-337.1186,-0.18991208,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,COO,49.740074,0.041603927,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,CY-CH2~|~CY-CH~|~CY-C,28.812658,-0.24313357,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,THF~|~CY-CH2O~|~TRIOXAN,-64.543564,-0.050979435,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,HCOOH,-389.76566,-0.040905498,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,CHCL3,-293.08362,-0.18631421,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,NMP~|~NEP~|~NIPP~|~NTBP,-64.39885,0.1880026,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,CONH2~|~CONHCH3~|~CONHCH2,-72.199066,0.29837307,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,-31.888468,0.04473435,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,HCONHCH3~|~HCONHCH2,-191.60692,0.37468043,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,AC2H2S~|~AC2HS~|~AC2S,132.8866,-0.16803227,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,-16.993921,-0.13500445,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,38.468113,-0.21632327,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,(CH2)2SU~|~CH2SUCH,107.235596,0.5097754,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,CH3S~|~CH2S~|~CHS,-152.54068,-0.09252671,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,C3H2N2+~|~C3H3N2+,-116.57138,0.8154246,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,BTI-,24.959631,0.12430648,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,C4H8N+,-56.90571,0.65770096,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,BF4-,-337.08847,-0.1852835,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,C5H5N+~|~C5H4N+,62.066463,0.08640301,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,OTF-,-287.25415,0.99186474,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,-S-S-,-110.422516,-0.21396548,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,SO4~|~HSO4,230.02031,0.97606385,0,10.48550/arXiv.2412.12962
CH3NH~|~CH2NH~|~CHNH,PF6,73.77185,0.7820418,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3~|~CH2~|~CH~|~C,85.12605,0.017369282,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,131.15831,-0.000454078,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACH~|~AC,25.225578,-0.006025944,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACCH3~|~ACCH2~|~ACCH,178.81235,-0.039796155,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,OH (P)~|~OH (S)~|~OH (T),-299.413,0.37588748,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3OH,-433.8241,0.5030806,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,H2O,-524.9899,0.20021741,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACOH,-320.35376,0.19233505,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3CO~|~CH2CO,38.36963,0.04323938,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,HCO,29.974024,0.13385691,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3COO~|~CH2COO,-16.078537,-0.05333175,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,HCOO,151.87186,-0.15759267,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3O~|~CH2O~|~CHO,-165.91615,0.01683469,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,-4.970312,-0.09105252,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3NH~|~CH2NH~|~CHNH,-25.950853,-0.079635724,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACNH2,131.56953,-0.2517012,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,AC2H2N~|~AC2HN~|~AC2N,-35.23786,-0.013621463,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3CN~|~CH2CN,108.87318,0.01820955,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,COOH,-515.7165,0.31568643,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH2CL~|~CHCL~|~CCL,-98.946884,-0.009684874,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH2CL2~|~CHCL2~|~CCL2,-165.12627,-0.036298316,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CCL3,-14.109487,-0.06351966,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CCL4,2.0085151,-0.015776454,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACCL,-71.63106,-0.31801802,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3NO2~|~CH2NO2~|~CHNO2,73.18666,0.045272272,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACNO2,82.49022,0.07424824,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CS2,51.272583,-0.13622123,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3SH~|~CH2SH,-23.038315,-0.005559112,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,FURFURAL,-73.454834,0.1173276,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,DOH,-261.42972,0.28428984,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,I,248.05978,-0.056772105,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,BR,-207.34726,-0.1434396,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH=-C~|~C=-C,-146.54321,0.04765676,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,DMSO,-138.55301,0.019559788,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACRY,17.0026,-0.023858285,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CL-(C=C),-72.781975,-0.056145504,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,ACF,-7.9046574,-0.1602132,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,DMF~|~HCON(..,-28.423483,0.11228686,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CF3~|~CF2~|~CF,53.37332,-0.11786445,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,COO,135.60345,-0.10907228,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CY-CH2~|~CY-CH~|~CY-C,109.29406,0.042499814,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,THF~|~CY-CH2O~|~TRIOXAN,-86.280106,0.05218973,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,HCOOH,-263.83002,0.13421872,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CHCL3,-245.89609,-0.036093198,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,NMP~|~NEP~|~NIPP~|~NTBP,37.098373,-0.023051402,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CONH2~|~CONHCH3~|~CONHCH2,87.05639,0.23386079,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,-99.83046,0.056729224,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,HCONHCH3~|~HCONHCH2,-186.97487,0.2186101,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,AC2H2S~|~AC2HS~|~AC2S,146.61375,-0.1533946,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,-129.71959,0.000631063,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,28.019058,-0.027352422,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,(CH2)2SU~|~CH2SUCH,205.40504,0.1288144,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,CH3S~|~CH2S~|~CHS,-145.58182,0.07505007,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,C3H2N2+~|~C3H3N2+,3.712288,0.2936156,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,BTI-,28.191257,0.1611013,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,C4H8N+,-78.322815,0.2941062,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,BF4-,-98.26738,-0.011116576,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,C5H5N+~|~C5H4N+,68.164505,0.057662595,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,OTF-,-159.51782,0.36644077,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,-S-S-,-160.20398,-0.001058579,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,SO4~|~HSO4,99.011505,0.44251338,0,10.48550/arXiv.2412.12962
CH3N~|~CH2N,PF6,149.25835,0.2999847,0,10.48550/arXiv.2412.12962
ACNH2,CH3~|~CH2~|~CH~|~C,163.852,-0.41090462,0,10.48550/arXiv.2412.12962
ACNH2,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,68.46919,-0.010426003,0,10.48550/arXiv.2412.12962
ACNH2,ACH~|~AC,-68.51529,0.03665528,0,10.48550/arXiv.2412.12962
ACNH2,ACCH3~|~ACCH2~|~ACCH,217.10548,-0.001310607,0,10.48550/arXiv.2412.12962
ACNH2,OH (P)~|~OH (S)~|~OH (T),-3.2076075,0.8984749,0,10.48550/arXiv.2412.12962
ACNH2,CH3OH,-1.9841374,-0.13666181,0,10.48550/arXiv.2412.12962
ACNH2,H2O,-322.87177,-0.31260487,0,10.48550/arXiv.2412.12962
ACNH2,ACOH,35.783936,0.056939017,0,10.48550/arXiv.2412.12962
ACNH2,CH3CO~|~CH2CO,-355.95078,-0.17712392,0,10.48550/arXiv.2412.12962
ACNH2,HCO,-313.00916,-0.10899904,0,10.48550/arXiv.2412.12962
ACNH2,CH3COO~|~CH2COO,164.18077,-0.2812173,0,10.48550/arXiv.2412.12962
ACNH2,HCOO,269.92343,0.24253173,0,10.48550/arXiv.2412.12962
ACNH2,CH3O~|~CH2O~|~CHO,-291.36942,0.12767269,0,10.48550/arXiv.2412.12962
ACNH2,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,-501.642,0.722013,0,10.48550/arXiv.2412.12962
ACNH2,CH3NH~|~CH2NH~|~CHNH,-197.83653,0.7159662,0,10.48550/arXiv.2412.12962
ACNH2,CH3N~|~CH2N,-70.716354,0.31367266,0,10.48550/arXiv.2412.12962
ACNH2,AC2H2N~|~AC2HN~|~AC2N,-462.13626,0.32569543,0,10.48550/arXiv.2412.12962
ACNH2,CH3CN~|~CH2CN,-97.19955,-0.15879314,0,10.48550/arXiv.2412.12962
ACNH2,COOH,-591.36,-0.48282003,0,10.48550/arXiv.2412.12962
ACNH2,CH2CL~|~CHCL~|~CCL,74.76337,-0.46863577,0,10.48550/arXiv.2412.12962
ACNH2,CH2CL2~|~CHCL2~|~CCL2,22.815418,-0.41859123,0,10.48550/arXiv.2412.12962
ACNH2,CCL3,144.28273,0.16727123,0,10.48550/arXiv.2412.12962
ACNH2,CCL4,111.18099,-0.14880337,0,10.48550/arXiv.2412.12962
ACNH2,ACCL,136.79826,0.54664236,0,10.48550/arXiv.2412.12962
ACNH2,CH3NO2~|~CH2NO2~|~CHNO2,-82.82604,0.1647345,0,10.48550/arXiv.2412.12962
ACNH2,ACNO2,141.64381,-0.53893316,0,10.48550/arXiv.2412.12962
ACNH2,CS2,608.8353,0.09210759,0,10.48550/arXiv.2412.12962
ACNH2,CH3SH~|~CH2SH,86.92611,-0.056615017,0,10.48550/arXiv.2412.12962
ACNH2,FURFURAL,183.50172,-0.3451889,0,10.48550/arXiv.2412.12962
ACNH2,DOH,-155.73608,-0.45444113,0,10.48550/arXiv.2412.12962
ACNH2,I,258.8367,0.268627,0,10.48550/arXiv.2412.12962
ACNH2,BR,-55.7419,0.22629711,0,10.48550/arXiv.2412.12962
ACNH2,CH=-C~|~C=-C,-213.18307,-0.3879058,0,10.48550/arXiv.2412.12962
ACNH2,DMSO,-280.39035,0.12637036,0,10.48550/arXiv.2412.12962
ACNH2,ACRY,236.93657,-0.19673549,0,10.48550/arXiv.2412.12962
ACNH2,CL-(C=C),72.37382,0.19222711,0,10.48550/arXiv.2412.12962
ACNH2,ACF,64.48974,0.72970986,0,10.48550/arXiv.2412.12962
ACNH2,DMF~|~HCON(..,-332.86145,-0.5890134,0,10.48550/arXiv.2412.12962
ACNH2,CF3~|~CF2~|~CF,204.84163,0.2261066,0,10.48550/arXiv.2412.12962
ACNH2,COO,-72.80603,0.39277396,0,10.48550/arXiv.2412.12962
ACNH2,CY-CH2~|~CY-CH~|~CY-C,115.054306,-0.19727094,0,10.48550/arXiv.2412.12962
ACNH2,THF~|~CY-CH2O~|~TRIOXAN,-302.5645,-0.09903231,0,10.48550/arXiv.2412.12962
ACNH2,HCOOH,-239.38347,-0.3859972,0,10.48550/arXiv.2412.12962
ACNH2,CHCL3,-77.6353,-0.2613753,0,10.48550/arXiv.2412.12962
ACNH2,NMP~|~NEP~|~NIPP~|~NTBP,-292.85992,0.048072457,0,10.48550/arXiv.2412.12962
ACNH2,CONH2~|~CONHCH3~|~CONHCH2,-174.36235,-0.3457484,0,10.48550/arXiv.2412.12962
ACNH2,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,-517.3306,-0.4068861,0,10.48550/arXiv.2412.12962
ACNH2,HCONHCH3~|~HCONHCH2,-188.03592,-0.2620763,0,10.48550/arXiv.2412.12962
ACNH2,AC2H2S~|~AC2HS~|~AC2S,-215.30785,0.46960533,0,10.48550/arXiv.2412.12962
ACNH2,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,-285.81894,-0.33430672,0,10.48550/arXiv.2412.12962
ACNH2,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,-188.32843,-0.1331175,0,10.48550/arXiv.2412.12962
ACNH2,(CH2)2SU~|~CH2SUCH,201.57004,0.13758112,0,10.48550/arXiv.2412.12962
ACNH2,CH3S~|~CH2S~|~CHS,-160.51682,-0.5030685,0,10.48550/arXiv.2412.12962
ACNH2,C3H2N2+~|~C3H3N2+,-13.459692,0.3073844,0,10.48550/arXiv.2412.12962
ACNH2,BTI-,80.05515,-0.4755693,0,10.48550/arXiv.2412.12962
ACNH2,C4H8N+,77.447685,-0.14519107,0,10.48550/arXiv.2412.12962
ACNH2,BF4-,-547.78595,-0.048873432,0,10.48550/arXiv.2412.12962
ACNH2,C5H5N+~|~C5H4N+,142.93001,-0.20560956,0,10.48550/arXiv.2412.12962
ACNH2,OTF-,-279.1042,-0.017861145,0,10.48550/arXiv.2412.12962
ACNH2,-S-S-,-215.544,-0.16945824,0,10.48550/arXiv.2412.12962
ACNH2,SO4~|~HSO4,-219.01659,-0.3380412,0,10.48550/arXiv.2412.12962
ACNH2,PF6,-108.63445,-0.30615705,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3~|~CH2~|~CH~|~C,116.36616,-1.387234,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-134.37396,-0.6101818,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACH~|~AC,-91.6797,-0.12893032,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACCH3~|~ACCH2~|~ACCH,74.652374,-0.80108327,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,OH (P)~|~OH (S)~|~OH (T),-483.81744,1.2067682,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3OH,-343.48804,0.29820225,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,H2O,-388.74634,-0.19130261,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACOH,-949.6061,0.40841612,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3CO~|~CH2CO,228.26923,-0.65527993,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,HCO,23.673306,0.7947671,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3COO~|~CH2COO,148.53888,-1.3348408,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,HCOO,26.698456,-0.2861243,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3O~|~CH2O~|~CHO,3.0804877,-0.5811593,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,-45.62918,0.62998474,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3NH~|~CH2NH~|~CHNH,91.44966,0.17904125,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3N~|~CH2N,7.238507,0.56981725,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACNH2,-475.17136,1.9990541,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3CN~|~CH2CN,97.3003,0.032055184,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,COOH,-842.2302,0.77460194,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH2CL~|~CHCL~|~CCL,-36.691673,-0.99637824,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH2CL2~|~CHCL2~|~CCL2,-174.7689,-0.8689048,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CCL3,-209.53163,-0.12548037,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CCL4,-187.94542,-0.17366333,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACCL,-115.65459,-0.39464435,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3NO2~|~CH2NO2~|~CHNO2,43.423786,-0.21624579,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACNO2,-93.08884,-0.25178742,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CS2,-107.77324,0.29165575,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3SH~|~CH2SH,-3.1217804,-0.50843143,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,FURFURAL,-177.02316,-0.34384197,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,DOH,-253.47353,-0.047051862,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,I,134.19519,0.3987592,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,BR,-177.58185,-0.20442963,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH=-C~|~C=-C,-264.9774,-0.2539217,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,DMSO,13.677134,-0.22891013,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACRY,-40.40365,-0.19320299,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CL-(C=C),-35.770355,-0.13978875,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,ACF,106.30997,0.7685851,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,DMF~|~HCON(..,174.31064,-0.56325877,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CF3~|~CF2~|~CF,-872.3754,0.002555555,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,COO,-61.66008,0.55280817,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CY-CH2~|~CY-CH~|~CY-C,96.50875,-1.3131171,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,THF~|~CY-CH2O~|~TRIOXAN,70.20413,-0.7801231,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,HCOOH,-821.91296,-0.66594875,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CHCL3,-380.154,0.070943475,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,NMP~|~NEP~|~NIPP~|~NTBP,128.60207,0.49824578,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CONH2~|~CONHCH3~|~CONHCH2,-20.939228,0.5339974,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,AM(CH3)2~|~AMCH3CH2~|~AM(CH2)2,72.916145,0.16119646,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,HCONHCH3~|~HCONHCH2,-188.15793,0.20064944,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,AC2H2S~|~AC2HS~|~AC2S,-40.95777,0.31587142,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,H2COCH~|~COCH~|~HCOCH~|~H2COCH2~|~H2COC,239.232,-0.46559057,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,(CH3)2CB~|~(CH2)2CB~|~CH2CH3CB,50.639233,-0.37156475,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,(CH2)2SU~|~CH2SUCH,157.45125,1.4779943,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,CH3S~|~CH2S~|~CHS,-63.82241,-0.09526734,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,C3H2N2+~|~C3H3N2+,-160.31714,0.97880214,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,BTI-,48.1353,-0.04639212,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,C4H8N+,-22.621986,0.6250141,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,BF4-,-253.5457,0.62712604,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,C5H5N+~|~C5H4N+,-64.022316,0.07479446,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,OTF-,-202.5191,1.6603093,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,-S-S-,44.513226,-1.2502968,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,SO4~|~HSO4,63.978004,-1.0239282,0,10.48550/arXiv.2412.12962
AC2H2N~|~AC2HN~|~AC2N,PF6,97.71409,0.9881116,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3~|~CH2~|~CH~|~C,101.06192,-0.72147274,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-105.925705,-0.20676653,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,ACH~|~AC,-59.654865,-0.024246762,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,ACCH3~|~ACCH2~|~ACCH,80.96908,-0.24888796,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,OH (P)~|~OH (S)~|~OH (T),774.699,-1.0098664,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3OH,744.7831,-1.3503495,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,H2O,80.37956,-0.54480726,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,ACOH,8.696929,-0.15909782,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3CO~|~CH2CO,-35.595306,-0.2472287,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,HCO,39.916386,-0.35208094,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3COO~|~CH2COO,-14.130493,-0.4174752,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,HCOO,109.45351,0.019822964,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3O~|~CH2O~|~CHO,-132.6993,-0.1530069,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3NH2~|~CH2NH2~|~CHNH2~|~CNH2,-37.65527,0.45576152,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3NH~|~CH2NH~|~CHNH,1.7229396,0.33967796,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3N~|~CH2N,-67.3895,0.19418596,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,ACNH2,288.9395,0.67923325,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,AC2H2N~|~AC2HN~|~AC2N,-112.9608,0.3598931,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,COOH,207.25851,-0.146834,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH2CL~|~CHCL~|~CCL,-101.5782,-0.4629295,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH2CL2~|~CHCL2~|~CCL2,-190.59464,-0.2631962,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CCL3,-55.796314,0.29773384,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CCL4,-49.14867,-0.0914331,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,ACCL,121.81859,0.37006956,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3NO2~|~CH2NO2~|~CHNO2,-99.086914,0.03263308,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,ACNO2,213.95868,-0.075518355,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CS2,347.01056,0.3684022,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,CH3SH~|~CH2SH,31.771662,-0.13475019,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,FURFURAL,191.2562,-0.3007212,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,DOH,237.20258,-0.7424638,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,I,139.70406,-0.21789129,0,10.48550/arXiv.2412.12962
CH3CN~|~CH2CN,BR,-137.98552,0.4885088,0,10.48550/arXiv.2412.12962
