Clapeyron Database File,,,
original UNIFAC 2.0 Unlike Parameters [csvtype = unlike,grouptype = originalUNIFAC],,
CH3NH2~|~CH2NH2~|~CHNH2,CH=-C~|~C=-C,48.44461,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,DMSO,-102.50845,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,ACRY,45.245804,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,CL-(C=C),212.64719,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,ACF,-7.4243183,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,DMF~|~HCON(..,-34.164913,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,CF3~|~CF2~|~CF,116.67344,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,COO,-69.49864,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,SIH3~|~SIH2~|~SIH~|~SI,41.982708,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,SIH2O~|~SIHO~|~SIO,8.683474,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,NMP,-103.491745,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,-51.497517,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,-125.842285,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,C2H5O2~|~C2H4O2,-192.58533,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,CH3S~|~CH2S~|~CHS,-100.63347,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,MORPH,-19.875128,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,C4H4S~|~C4H3S~|~C4H2S,20.459667,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,NCO,-19.330702,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,CH2SuCH2~|~CH2SuCH,-123.614,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,IMIDAZOL,-31.584242,10.1016/j.cej.2024.158667
CH3NH2~|~CH2NH2~|~CHNH2,BTI,108.19848,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3~|~CH2~|~CH~|~C,156.49178,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,138.87518,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACH~|~AC,90.02556,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACCH3~|~ACCH2~|~ACCH,94.75923,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,OH,-188.32556,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3OH,-266.7349,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,H2O,-377.18317,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACOH,-612.5469,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3CO~|~CH2CO,-95.70422,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,HCO,10.684799,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3COO~|~CH2COO,-4.235418,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,HCOO,-1.259274,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3O~|~CH2O~|~CHO~|~THF,-123.84949,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3NH2~|~CH2NH2~|~CHNH2,-6.4899406,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3N~|~CH2N,95.102425,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACNH2,-233.8974,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,C5H5N~|~C5H4N~|~C5H3N,-93.9072,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3CN~|~CH2CN,45.300655,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,COOH~|~HCOOH,-376.9019,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH2CL~|~CHCL~|~CCL,104.29884,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH2CL2~|~CHCL2~|~CCL2,83.89285,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CHCL3~|~CCL3,106.45676,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CCL4,92.89249,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACCL,162.93008,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3NO2~|~CH2NO2~|~CHNO2,-15.458485,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACNO2,-73.97559,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CS2,231.68272,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3SH~|~CH2SH,102.38127,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,FURFURAL,-57.320972,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,DOH,-87.08902,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,I,150.48154,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,BR,80.000496,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH=-C~|~C=-C,8.686582,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,DMSO,-70.12503,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACRY,28.829815,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CL-(C=C),219.09926,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,ACF,71.524475,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,DMF~|~HCON(..,-52.380753,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CF3~|~CF2~|~CF,108.10785,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,COO,-65.97221,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,SIH3~|~SIH2~|~SIH~|~SI,68.860596,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,SIH2O~|~SIHO~|~SIO,-44.407314,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,NMP,-94.79641,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,-48.493713,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,-64.1777,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,C2H5O2~|~C2H4O2,-193.1787,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH3S~|~CH2S~|~CHS,-104.38208,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,MORPH,-10.604135,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,C4H4S~|~C4H3S~|~C4H2S,37.996887,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,NCO,-57.92005,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,CH2SuCH2~|~CH2SuCH,-126.32954,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,IMIDAZOL,-91.495605,10.1016/j.cej.2024.158667
CH3NH~|~CH2NH~|~CHNH,BTI,-37.69072,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3~|~CH2~|~CH~|~C,146.4046,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,132.1756,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACH~|~AC,10.337906,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACCH3~|~ACCH2~|~ACCH,38.429153,10.1016/j.cej.2024.158667
CH3N~|~CH2N,OH,-125.277725,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3OH,-191.1107,10.1016/j.cej.2024.158667
CH3N~|~CH2N,H2O,-388.46844,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACOH,-678.7661,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3CO~|~CH2CO,16.935097,10.1016/j.cej.2024.158667
CH3N~|~CH2N,HCO,-60.008377,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3COO~|~CH2COO,49.613266,10.1016/j.cej.2024.158667
CH3N~|~CH2N,HCOO,37.4935,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3O~|~CH2O~|~CHO~|~THF,-72.184975,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3NH2~|~CH2NH2~|~CHNH2,-13.080682,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3NH~|~CH2NH~|~CHNH,35.30742,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACNH2,-55.71316,10.1016/j.cej.2024.158667
CH3N~|~CH2N,C5H5N~|~C5H4N~|~C5H3N,-42.678467,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3CN~|~CH2CN,-1.5588503,10.1016/j.cej.2024.158667
CH3N~|~CH2N,COOH~|~HCOOH,-402.0215,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH2CL~|~CHCL~|~CCL,36.715958,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH2CL2~|~CHCL2~|~CCL2,-16.227005,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CHCL3~|~CCL3,-30.972986,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CCL4,23.145134,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACCL,46.033707,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3NO2~|~CH2NO2~|~CHNO2,-102.8439,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACNO2,-180.21516,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CS2,155.75958,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3SH~|~CH2SH,-59.96174,10.1016/j.cej.2024.158667
CH3N~|~CH2N,FURFURAL,-55.06462,10.1016/j.cej.2024.158667
CH3N~|~CH2N,DOH,-82.55942,10.1016/j.cej.2024.158667
CH3N~|~CH2N,I,14.528179,10.1016/j.cej.2024.158667
CH3N~|~CH2N,BR,-56.5214,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH=-C~|~C=-C,-13.791471,10.1016/j.cej.2024.158667
CH3N~|~CH2N,DMSO,-57.38906,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACRY,-9.596353,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CL-(C=C),60.53728,10.1016/j.cej.2024.158667
CH3N~|~CH2N,ACF,34.30584,10.1016/j.cej.2024.158667
CH3N~|~CH2N,DMF~|~HCON(..,-61.98244,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CF3~|~CF2~|~CF,84.66292,10.1016/j.cej.2024.158667
CH3N~|~CH2N,COO,103.51398,10.1016/j.cej.2024.158667
CH3N~|~CH2N,SIH3~|~SIH2~|~SIH~|~SI,71.87559,10.1016/j.cej.2024.158667
CH3N~|~CH2N,SIH2O~|~SIHO~|~SIO,-58.14928,10.1016/j.cej.2024.158667
CH3N~|~CH2N,NMP,-117.90004,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,-29.286373,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,-43.369408,10.1016/j.cej.2024.158667
CH3N~|~CH2N,C2H5O2~|~C2H4O2,-164.6208,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH3S~|~CH2S~|~CHS,-123.2529,10.1016/j.cej.2024.158667
CH3N~|~CH2N,MORPH,-9.379985,10.1016/j.cej.2024.158667
CH3N~|~CH2N,C4H4S~|~C4H3S~|~C4H2S,-26.768326,10.1016/j.cej.2024.158667
CH3N~|~CH2N,NCO,-89.965355,10.1016/j.cej.2024.158667
CH3N~|~CH2N,CH2SuCH2~|~CH2SuCH,-88.42205,10.1016/j.cej.2024.158667
CH3N~|~CH2N,IMIDAZOL,-95.442856,10.1016/j.cej.2024.158667
CH3N~|~CH2N,BTI,-12.857843,10.1016/j.cej.2024.158667
ACNH2,CH3~|~CH2~|~CH~|~C,429.1446,10.1016/j.cej.2024.158667
ACNH2,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,301.20123,10.1016/j.cej.2024.158667
ACNH2,ACH~|~AC,56.611755,10.1016/j.cej.2024.158667
ACNH2,ACCH3~|~ACCH2~|~ACCH,282.49518,10.1016/j.cej.2024.158667
ACNH2,OH,209.41832,10.1016/j.cej.2024.158667
ACNH2,CH3OH,203.95668,10.1016/j.cej.2024.158667
ACNH2,H2O,28.004877,10.1016/j.cej.2024.158667
ACNH2,ACOH,-178.19441,10.1016/j.cej.2024.158667
ACNH2,CH3CO~|~CH2CO,31.342548,10.1016/j.cej.2024.158667
ACNH2,HCO,229.30444,10.1016/j.cej.2024.158667
ACNH2,CH3COO~|~CH2COO,-9.995905,10.1016/j.cej.2024.158667
ACNH2,HCOO,-119.478546,10.1016/j.cej.2024.158667
ACNH2,CH3O~|~CH2O~|~CHO~|~THF,-216.78128,10.1016/j.cej.2024.158667
ACNH2,CH3NH2~|~CH2NH2~|~CHNH2,-76.08568,10.1016/j.cej.2024.158667
ACNH2,CH3NH~|~CH2NH~|~CHNH,145.47824,10.1016/j.cej.2024.158667
ACNH2,CH3N~|~CH2N,98.81301,10.1016/j.cej.2024.158667
ACNH2,C5H5N~|~C5H4N~|~C5H3N,-40.147663,10.1016/j.cej.2024.158667
ACNH2,CH3CN~|~CH2CN,64.35922,10.1016/j.cej.2024.158667
ACNH2,COOH~|~HCOOH,-287.51282,10.1016/j.cej.2024.158667
ACNH2,CH2CL~|~CHCL~|~CCL,48.331104,10.1016/j.cej.2024.158667
ACNH2,CH2CL2~|~CHCL2~|~CCL2,10.277051,10.1016/j.cej.2024.158667
ACNH2,CHCL3~|~CCL3,14.234983,10.1016/j.cej.2024.158667
ACNH2,CCL4,186.57886,10.1016/j.cej.2024.158667
ACNH2,ACCL,429.13678,10.1016/j.cej.2024.158667
ACNH2,CH3NO2~|~CH2NO2~|~CHNO2,-151.88855,10.1016/j.cej.2024.158667
ACNH2,ACNO2,-105.92739,10.1016/j.cej.2024.158667
ACNH2,CS2,732.94324,10.1016/j.cej.2024.158667
ACNH2,CH3SH~|~CH2SH,-132.09563,10.1016/j.cej.2024.158667
ACNH2,FURFURAL,-133.42981,10.1016/j.cej.2024.158667
ACNH2,DOH,114.819496,10.1016/j.cej.2024.158667
ACNH2,I,282.12085,10.1016/j.cej.2024.158667
ACNH2,BR,29.063673,10.1016/j.cej.2024.158667
ACNH2,CH=-C~|~C=-C,-76.53566,10.1016/j.cej.2024.158667
ACNH2,DMSO,-75.1222,10.1016/j.cej.2024.158667
ACNH2,ACRY,90.81682,10.1016/j.cej.2024.158667
ACNH2,CL-(C=C),103.52638,10.1016/j.cej.2024.158667
ACNH2,ACF,251.58434,10.1016/j.cej.2024.158667
ACNH2,DMF~|~HCON(..,-378.69965,10.1016/j.cej.2024.158667
ACNH2,CF3~|~CF2~|~CF,113.83724,10.1016/j.cej.2024.158667
ACNH2,COO,323.7883,10.1016/j.cej.2024.158667
ACNH2,SIH3~|~SIH2~|~SIH~|~SI,105.5885,10.1016/j.cej.2024.158667
ACNH2,SIH2O~|~SIHO~|~SIO,-86.13014,10.1016/j.cej.2024.158667
ACNH2,NMP,-182.59207,10.1016/j.cej.2024.158667
ACNH2,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,73.553825,10.1016/j.cej.2024.158667
ACNH2,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,-45.44307,10.1016/j.cej.2024.158667
ACNH2,C2H5O2~|~C2H4O2,-158.98424,10.1016/j.cej.2024.158667
ACNH2,CH3S~|~CH2S~|~CHS,-186.5985,10.1016/j.cej.2024.158667
ACNH2,MORPH,-3.449532,10.1016/j.cej.2024.158667
ACNH2,C4H4S~|~C4H3S~|~C4H2S,31.133823,10.1016/j.cej.2024.158667
ACNH2,NCO,-96.48309,10.1016/j.cej.2024.158667
ACNH2,CH2SuCH2~|~CH2SuCH,-24.285315,10.1016/j.cej.2024.158667
ACNH2,IMIDAZOL,-148.05699,10.1016/j.cej.2024.158667
ACNH2,BTI,-206.01149,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3~|~CH2~|~CH~|~C,-58.754078,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-114.26995,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACH~|~AC,-111.41885,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACCH3~|~ACCH2~|~ACCH,-94.49336,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,OH,-16.399126,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3OH,-93.500244,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,H2O,-54.022564,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACOH,-382.19977,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3CO~|~CH2CO,-35.681576,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,HCO,19.002565,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3COO~|~CH2COO,-17.89988,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,HCOO,51.828274,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3O~|~CH2O~|~CHO~|~THF,-126.16075,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3NH2~|~CH2NH2~|~CHNH2,71.972015,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3NH~|~CH2NH~|~CHNH,80.49046,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3N~|~CH2N,205.37315,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACNH2,242.64412,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3CN~|~CH2CN,8.094007,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,COOH~|~HCOOH,-207.47586,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH2CL~|~CHCL~|~CCL,-126.87787,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH2CL2~|~CHCL2~|~CCL2,-181.53572,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CHCL3~|~CCL3,-179.57817,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CCL4,-148.85403,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACCL,-131.9084,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3NO2~|~CH2NO2~|~CHNO2,-75.58894,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACNO2,-151.39833,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CS2,-142.7861,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3SH~|~CH2SH,-77.66101,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,FURFURAL,-79.08828,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,DOH,131.47054,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,I,-149.92397,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,BR,-200.77104,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH=-C~|~C=-C,-161.2433,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,DMSO,89.01436,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACRY,-113.61237,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CL-(C=C),-130.06003,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,ACF,28.572609,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,DMF~|~HCON(..,49.785038,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CF3~|~CF2~|~CF,-29.016188,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,COO,78.82012,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,SIH3~|~SIH2~|~SIH~|~SI,-19.9028,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,SIH2O~|~SIHO~|~SIO,-5.695123,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,NMP,-8.671421,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CCL3F~|~CCL2F~|~HCCL2F~|~HCCLF~|~CCLF2~|~HCCLF2~|~CCLF3~|~CCL2F2,-155.57808,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CONH2~|~CONHCH3~|~CONHCH2~|~CON(CH3)2~|~CONCH3CH2~|~CON(CH2)2,150.18372,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,C2H5O2~|~C2H4O2,67.07221,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH3S~|~CH2S~|~CHS,-48.11367,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,MORPH,-16.436716,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,C4H4S~|~C4H3S~|~C4H2S,-89.81483,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,NCO,-14.986561,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,CH2SuCH2~|~CH2SuCH,51.70309,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,IMIDAZOL,7.0946546,10.1016/j.cej.2024.158667
C5H5N~|~C5H4N~|~C5H3N,BTI,-3.2699635,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3~|~CH2~|~CH~|~C,47.559364,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH2=CH~|~CH=CH~|~CH2=C~|~CH=C~|~C=C,-11.525986,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACH~|~AC,-47.32166,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACCH3~|~ACCH2~|~ACCH,26.86641,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,OH,158.64944,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3OH,183.14764,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,H2O,184.92857,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACOH,52.64213,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3CO~|~CH2CO,-25.900927,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,HCO,-66.3511,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3COO~|~CH2COO,-44.711475,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,HCOO,-19.535234,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3O~|~CH2O~|~CHO~|~THF,-153.7446,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3NH2~|~CH2NH2~|~CHNH2,-19.105907,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3NH~|~CH2NH~|~CHNH,-50.636364,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3N~|~CH2N,61.905624,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACNH2,284.5587,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,C5H5N~|~C5H4N~|~C5H3N,4.193337,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,COOH~|~HCOOH,90.659546,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH2CL~|~CHCL~|~CCL,-95.03051,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH2CL2~|~CHCL2~|~CCL2,-147.0218,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CHCL3~|~CCL3,-111.39136,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CCL4,-25.073914,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACCL,59.353695,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3NO2~|~CH2NO2~|~CHNO2,-76.08779,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACNO2,-75.66574,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CS2,143.81358,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH3SH~|~CH2SH,-76.64229,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,FURFURAL,-66.073845,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,DOH,126.43028,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,I,8.668649,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,BR,-96.203125,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CH=-C~|~C=-C,-129.49805,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,DMSO,11.055197,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACRY,-58.348766,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CL-(C=C),-89.58623,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,ACF,73.80113,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,DMF~|~HCON(..,-78.75855,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,CF3~|~CF2~|~CF,27.308315,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,COO,182.89565,10.1016/j.cej.2024.158667
CH3CN~|~CH2CN,SIH3~|~SIH2~|~SIH~|~SI,11.092378,10.1016/j.cej.2024.158667
