Clapeyron Database File,,,,,
VTPR Unlike Parameters,,,,,
species1,SMILES1,species2,SMILES2,A,B,C,source
N2,,O2,,16.868,0,0,
SO2,,O2,,430.23,0,0,
N2O,,O2,,398.36,0,0,
N2,,Ar,,3.5561,0,0,
H2~|~D2,,Ar,,86.176,0,0,
CO,,Ar,,16.976,0,0,
SO2,,Ar,,175.77,0,0,
He,,Ar,,147.26,0,0,
H2S,,N2,,548.12,0,0,
H2~|~D2,,N2,,78.387,0,0,
CO,,N2,,-0.0648,0,0,
SO2,,N2,,755.11,0.1987,0,
N2O,,N2,,541.46,0,0,
He,,N2,,130.18,0,0,
H2~|~D2,,H2S,,32.03,0,0,
CO,,H2S,,171.29,0,0,
CO,,H2~|~D2,,1118.5,-25.222,0.153,
SO2,,H2~|~D2,,587.42,0,0,
