Clapeyron Database File
PCPSAFT Like Parameters; Esper et al. (2023) [csvtype = like]
species,Mw,segment,sigma,epsilon,dipole,n_a,n_b,source,type,bounds_violation
"2,3-dimethyl-2-butene",84.094,2.83582,3.77953,252.78743,0.0,0,0,,NONPOLAR,OK
"1,1,1,5-tetrachloropentane",207.938,8.80429,2.82506,198.11459,0.0,0,0,,NONPOLAR,OK
"1,1,1,7-tetrachloroheptane",235.969,7.81621,3.18089,227.01493,0.0,0,0,,NONPOLAR,OK
isopropylcyclohexane~|~(1-methylethyl)cyclohexane,126.141,3.18876,4.06823,288.91527,0.0,0,0,,NONPOLAR,OK
trifluoroacetic acid~|~trifluoroethanoic acid,113.993,3.95471,2.87338,157.6198,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
1-heptene,98.11,3.27031,3.83115,244.19525,0.0,0,0,,NONPOLAR,OK
"1,5-hexadiene",82.078,2.70851,3.82118,248.0981,0.0,0,0,,NONPOLAR,OK
propylbutyrate~|~n-propylbutyrate~|~propyl butanoate~|~n-propylbutanoate~|~n-propyl n-butyrate~|~butanoic acid propyl ester,130.099,4.27121,3.59938,241.48775,1.75,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
pentyne~|~1-pentyne,68.063,2.13665,3.88326,272.07785,0.81,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
phenetole~|~ethoxybenzene,122.073,3.82096,3.57923,277.62899,1.40003,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
octyl acetate~|~n-octyl acetate~|~octyl ethanoate~|~aceticacidoctylester,172.146,5.69964,3.61086,241.21798,1.84,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"isophorone~|~3,5,5-trimethyl-2-cyclohexen-1-one",138.104,3.53258,3.91577,306.08567,4.02,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,4-butadiol~|~1,4-butanediol",90.068,2.37052,3.86457,336.36802,0.0,2,2,,ASSOCIATIVE,OK
2-hexanone,100.089,3.63118,3.56677,252.94354,2.68,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethyl isovalerate~|~3-methylbutanoicacidethylester,130.099,4.38421,3.56216,232.56613,1.97,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
p-nitrophenol,139.027,3.07023,3.55686,234.17806,0.0,3,1,,ASSOCIATIVE,epsilon_k_ab: higher
"r130a~|~1,1,1,2-tetrachloroethane",165.891,2.87948,3.70282,297.22657,1.29,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
pentachloroethane,199.852,2.70087,3.94651,329.71162,0.92,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"bis(cyanoethyl)ether~|~3,3'-oxybispropionitrile~|~3,3'-oxybis-propanenitrile",124.064,3.57559,3.67428,400.23429,0.0,3,0,,NONPOLAR,OK
gamma-butyrolactone~|~.gamma.-butyrolactone,86.037,2.8454,3.38215,328.5109,4.11,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,5-dimethyltetrahydrofuran",100.089,2.94283,3.77423,261.28875,0.0,1,0,,NONPOLAR,OK
3-methylheptane,114.141,3.61455,3.88542,245.59768,0.0,0,0,,NONPOLAR,OK
"2,5,8,11-tetraoxadodecane~|~triethylene glycol dimethyl ether",178.121,5.34681,3.58701,256.86589,2.24,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
o-toluidine~|~2-methylaniline~|~o-methylaniline~|~2-methyl-benzeneamine,107.073,3.02158,3.72713,339.13581,0.0,1,1,,ASSOCIATIVE,OK
"1,2,3-propanetriyl tributanoate~|~butanoic acid-1,2,3-propanetriyl ester",302.173,9.53809,3.47201,231.64577,0.0,6,0,,NONPOLAR,OK
"di-2-ethylhexylphthalate~|~bis(2-ethylhexyl) phthalate~|~bis(2-ethylhexyl) 1,2-benzenedicarboxylate",390.277,11.40213,3.6536,240.8758,2.84,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methyloleate~|~methyl cis-9-octadecenoate,296.272,8.82621,3.78155,249.5465,0.0,2,0,,NONPOLAR,OK
"paraldehyde~|~2,4,6-trimethyl-1,3,5-trioxane",132.079,4.51777,3.37396,226.05313,1.43,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
nonadecane~|~n-nonadecane,268.313,8.17602,3.87621,249.28432,0.0,0,0,,NONPOLAR,OK
1-nonyne,124.125,4.1734,3.74311,247.64174,0.0,0,0,,NONPOLAR,OK
perfluoromethylcyclohexane~|~(trifluoromethyl)undecaflurocyclohexane,349.978,4.22497,3.83358,197.32599,0.0,0,0,,NONPOLAR,OK
3-methyl-2-pentanone,100.089,3.3527,3.65503,261.31187,0.0,1,0,,NONPOLAR,OK
"3,3-dimethyl-2-butanone",100.089,2.77804,3.85444,275.08923,2.75,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone",114.104,3.68879,3.70711,246.22157,2.73,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
nitrocyclohexane,129.079,3.36571,3.70945,324.88581,0.0,2,0,,NONPOLAR,OK
2-methyl-1-butanol,88.089,2.88784,3.73187,260.46563,0.0,1,1,,ASSOCIATIVE,OK
2-pentanol~|~pentan-2-ol,88.089,2.81475,3.77949,260.74414,0.0,1,1,,ASSOCIATIVE,OK
3-pentanol,88.089,3.82473,3.34379,208.16199,0.0,1,1,,ASSOCIATIVE,OK
tert-pentanol~|~2-methyl-2-butanol~|~2-methylbutan-2-ol,88.089,2.53801,3.91423,269.677,0.0,1,1,,ASSOCIATIVE,OK
"2,3,3-trimethyl-2-butanol",116.12,3.36363,3.84237,251.91321,0.0,1,1,,ASSOCIATIVE,OK
3-ethyl-3-pentanol,116.12,5.01289,3.33716,223.02925,0.0,1,1,,ASSOCIATIVE,OK
3-methyl-3-pentanol,102.104,3.80776,3.5306,242.94264,0.0,1,1,,ASSOCIATIVE,OK
"2,3-dimethyl-2-butanol",102.104,2.81532,3.94841,275.35173,0.0,1,1,,ASSOCIATIVE,OK
2-methyl-2-pentanol,102.104,2.14031,4.36424,296.86234,0.0,1,1,,ASSOCIATIVE,OK
3-hexanol,102.104,3.15455,3.81224,262.53841,0.0,1,1,,ASSOCIATIVE,OK
2-hexanol,102.104,3.29456,3.76233,257.5694,0.0,1,1,,ASSOCIATIVE,OK
"2,2-dimethyl-1-butanol",102.104,2.22256,4.29006,287.6308,0.0,1,1,,ASSOCIATIVE,OK
1-bromo-2-chloroethane,141.918,2.56319,3.51395,305.94412,0.0,0,0,,NONPOLAR,OK
"1,3-dichloropropane",111.985,2.73596,3.61252,298.81339,2.08,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
diethyl adipate~|~diethyl hexanedioate,202.121,6.73131,3.45012,242.32437,0.0,4,0,,NONPOLAR,OK
r30b2~|~ch2br2~|~dibromomethane,171.852,2.37875,3.40645,313.97633,1.43,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
o-nitroanisole~|~2-methoxynitrobenzene~|~1-methoxy-2-nitrobenzene,153.043,10.40539,2.51391,216.23416,4.83,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,3-dibromopropane",199.884,2.81529,3.69431,328.67314,2.07,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
formamide,45.021,1.40781,3.53996,550.0,0.0,1,2,,ASSOCIATIVE,epsilon_k: higher
benzophenone,182.073,4.58931,3.72895,327.52235,2.98,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
diphenylamine,169.089,2.52788,4.44856,407.71616,0.0,1,1,,ASSOCIATIVE,OK
o-chlorotoluene~|~2-chlorotoluene~|~1-chloro-2-methylbenzene,126.024,3.10904,3.72881,303.97836,1.56,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethyl benzoate,150.068,4.24995,3.61026,286.36288,1.9,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-bromopropane~|~propyl bromide,121.973,2.49276,3.62552,272.20973,2.01,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
3-chlorotoluene~|~m-chlorotoluene,126.024,3.01284,3.78371,312.30087,0.0,0,0,,NONPOLAR,OK
1-propoxy-2-propanol~|~propylene glycol n-propyl ether,118.099,3.91607,3.61252,252.7632,0.0,2,1,,ASSOCIATIVE,OK
isovaleric acid~|~3-methylbutanoic acid,102.068,3.40514,3.57451,269.14134,0.0,1,1,,ASSOCIATIVE,OK
ethylacetoacetate~|~ethyl 3-oxobutanoate,130.063,4.43685,3.39354,260.76975,2.92897,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylbutyrate~|~methyl butanoate~|~methyl n-butyrate,102.068,3.72169,3.42377,237.87081,1.7,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,5-pentanediol",104.084,2.02917,4.1024,94.05423,0.0,2,2,,ASSOCIATIVE,OK
1-hexadecanol,242.261,6.46632,4.01514,274.31616,0.0,1,1,,ASSOCIATIVE,OK
octadecanol~|~1-octadecanol,270.292,7.13973,4.03896,273.24096,0.0,1,1,,ASSOCIATIVE,OK
undecane~|~n-undecane,156.188,4.91136,3.82029,249.50624,0.0,0,0,,NONPOLAR,OK
2-methyloctane,128.157,4.10474,3.87073,242.55508,0.0,0,0,,NONPOLAR,OK
"2,3,4-trimethylpentane",114.141,3.17623,4.03277,259.56788,0.0,0,0,,NONPOLAR,OK
pentadecane~|~n-pentadecane,212.25,6.50721,3.79059,251.06259,0.0,0,0,,NONPOLAR,OK
"propylenecarbonate~|~4-methyl-1,3-dioxolan-2-one",102.032,3.22641,3.39386,317.49694,4.98,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
octylbenzene~|~n-octylbenzene,190.172,5.04295,3.96072,283.01384,0.0,0,0,,NONPOLAR,OK
"1,3-propanediol~|~propan-1,3-diol~|~1 3-propylene glycol~|~1,3-propylene glycol",76.052,1.27353,4.5,425.83652,0.0,2,2,,ASSOCIATIVE,sigma: higher
1-ethylnaphthalene,156.094,3.88613,3.85029,328.65317,0.0,0,0,,NONPOLAR,OK
"1,6-hexanediol",118.099,3.37951,3.79315,313.72181,0.0,2,2,,ASSOCIATIVE,OK
"dichloroacetic acid~|~2,2-dichloroacetic acid",127.943,1.20065,4.49299,210.30845,0.0,1,1,,ASSOCIATIVE,OK
octyne~|~1-octyne,110.11,3.74554,3.73511,247.89273,0.96,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-ethylhexanoic acid~|~2-ethyl-hexanoic acid,144.115,3.39219,4.06553,274.86869,0.0,1,1,,ASSOCIATIVE,OK
2-pentene,70.078,2.4197,3.81623,247.87781,0.0,0,0,,NONPOLAR,OK
"ethylidene diacetate~|~ethylidene diethanoate~|~1,1-ethanedioldiacetate",146.058,5.39448,3.23042,232.28333,0.0,4,0,,NONPOLAR,OK
heptanoic acid~|~n-heptanoic acid,130.099,5.92099,3.23324,248.24152,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
benzyl ethyl ether~|~(ethoxymethyl)-benzene,136.089,4.16297,3.61903,273.55042,0.0,1,0,,NONPOLAR,OK
2-bromopropane~|~isopropyl bromide,121.973,2.16309,3.84311,281.23985,2.21,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-bromo-2-methylpropane,135.989,2.74235,3.74155,274.41035,0.0,0,0,,NONPOLAR,OK
p-chlorotoluene~|~4-chlorotoluene~|~1-chloro-4-methylbenzene,126.024,2.99979,3.79367,310.00326,2.21,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-dodecene,168.188,5.4321,3.81379,245.17208,0.0,0,0,,NONPOLAR,OK
pentanal~|~1-pentanal~|~valeraldehyde,86.073,3.19277,3.54508,254.58394,2.6,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
hexanal~|~1-hexanal,100.089,3.5625,3.57429,260.8682,0.0,1,0,,NONPOLAR,OK
heptanal~|~1-heptanal,114.104,3.34262,3.83567,281.1678,2.58,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
octanal~|~1-octanal,128.12,4.85974,3.50489,242.67706,0.0,1,0,,NONPOLAR,OK
nonanal~|~1-nonanal,142.136,5.19012,3.55228,245.15575,0.0,1,0,,NONPOLAR,OK
indene~|~1h-indene,116.063,3.02043,3.78545,327.51113,0.0,0,0,,NONPOLAR,OK
2-methylhexane,100.125,3.30335,3.86513,239.35097,0.0,0,0,,NONPOLAR,OK
"2,4-dimethylhexane~|~2 4-dimethylhexane",114.141,3.45038,3.95994,244.70926,0.0,0,0,,NONPOLAR,OK
"tert-butylbenzene~|~(1,1-dimethylethyl)benzene",134.11,3.54993,3.91102,282.96496,0.0,0,0,,NONPOLAR,OK
"pyrocatechol~|~1,2-benzenediol~|~1,2-dihydroxybenzene",110.037,3.97919,3.18931,330.12787,0.0,2,2,,ASSOCIATIVE,OK
"2-mercaptoethanol~|~ethanol, 2-mercapto-",78.014,1.21331,4.5,531.31282,0.0,2,2,,ASSOCIATIVE,"sigma: higher, kappa_ab: lower"
thp~|~tetrahydropyran,86.073,2.5957,3.6803,281.77454,1.55,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
trichloroacetic acid~|~trichlorethanoic acid,161.904,4.85809,3.04254,260.56444,0.0,1,1,,ASSOCIATIVE,OK
2-nitrophenol~|~o-nitrophenol,139.027,3.7188,3.44771,299.64521,0.0,3,1,,ASSOCIATIVE,kappa_ab: higher
"2,7-dimethyloctane",142.172,4.309,3.93099,245.07869,0.0,0,0,,NONPOLAR,OK
ethylcyclopentane,98.11,2.86894,3.89812,272.52263,0.0,0,0,,NONPOLAR,OK
isopropylcyclopentane~|~1-methylethylcyclopentane~|~(1-methylethyl)-cyclopentane,112.125,2.92875,4.04986,283.74552,0.0,0,0,,NONPOLAR,OK
decalin,138.141,3.24274,4.07794,312.42132,0.0,0,0,,NONPOLAR,OK
"2,3-dimethyl-1-butene",84.094,2.84326,3.80401,237.66904,0.0,0,0,,NONPOLAR,OK
nonanoic acid~|~n-nonanoic acid,158.131,5.41128,3.59757,269.67493,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
"o-dichloro benzene~|~1,2-dichlorobenzene",145.969,2.84364,3.81659,334.19319,2.5,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
m-toluidine~|~3-methylaniline~|~m-methylaniline,107.073,3.44585,3.56396,320.12169,0.0,1,1,,ASSOCIATIVE,OK
salicylaldehyde~|~salicylicaldehyde~|~2-hydroxybenzaldehyde,122.037,3.4103,3.53668,294.63034,0.0,2,1,,ASSOCIATIVE,kappa_ab: higher
guaiacol~|~2-methoxyphenol,124.052,3.87582,3.43228,289.66653,0.0,2,1,,ASSOCIATIVE,kappa_ab: higher
2-chlorophenol~|~o-chlorophenol,128.003,3.3498,3.4928,306.49192,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
3-chlorophenol~|~m-chlorophenol,128.003,4.2094,3.23742,297.57927,0.0,1,1,,ASSOCIATIVE,kappa_ab: lower
4-chlorophenol~|~p-chlorophenol,128.003,4.02111,3.28122,307.72879,0.0,1,1,,ASSOCIATIVE,OK
n-methylpiperidine,99.105,2.6654,3.93397,287.14191,0.92,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"acetylacetone~|~2,4-pentanedione",100.052,2.14449,4.07412,348.86452,3.0,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"resorcinol~|~1,3-benzenediol~|~1,3-dihydroxybenzene",110.037,2.39189,3.88105,386.93484,0.0,2,2,,ASSOCIATIVE,OK
methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane~|~methyl tert-butyl ether~|~mtbe,88.089,2.94782,3.70393,233.07331,1.36,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"1,4-pentadiene",68.063,2.54223,3.68026,233.50921,0.0,0,0,,NONPOLAR,OK
1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether,74.073,2.84575,3.53881,228.63459,1.24,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
methylisopropylether~|~isopropyl methyl ether,74.073,2.825,3.54669,223.17478,1.25,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
glutaronitrile~|~pentanedinitrile,94.053,2.88773,3.68295,405.30914,3.9,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"diglyme~|~2,5,8-trioxanonane~|~diethylene glycol dimethyl ether",134.094,5.03781,3.3504,234.66738,1.97,3,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
1-tetradecanol,214.23,6.14784,3.91299,267.80892,0.0,1,1,,ASSOCIATIVE,OK
2-methylpiperidine,99.105,2.43311,4.07332,300.19529,0.0,1,1,,ASSOCIATIVE,OK
dipentyl ether~|~di-n-pentylether,158.167,4.69107,3.89373,249.64612,1.2,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"cis-1,2-dimethylcyclohexane",112.125,2.70932,4.12773,299.99157,0.0,0,0,,NONPOLAR,OK
cyclopentene,68.063,2.29725,3.66273,267.52314,0.0,0,0,,NONPOLAR,OK
cycloheptene,96.094,2.67566,3.88601,295.17757,0.0,0,0,,NONPOLAR,OK
1-methylcyclohexene,96.094,2.62859,3.92804,294.2903,0.0,0,0,,NONPOLAR,OK
"1,4-cyclohexadiene",80.063,2.591,3.63991,285.76392,0.0,0,0,,NONPOLAR,OK
4-vinylcyclohexene~|~4-ethenylcyclohexene,108.094,2.94019,3.91368,287.72379,0.0,0,0,,NONPOLAR,OK
2-chloroaniline~|~o-chloroaniline~|~2-chlorobenzeneamine,127.019,3.40311,3.54342,320.82138,0.0,1,1,,ASSOCIATIVE,"kappa_ab: higher, epsilon_k_ab: lower"
m-chloroaniline~|~3-chlorobenzenamine~|~3-chlorobenzeneamine,127.019,3.34104,3.54445,272.12814,0.0,1,1,,ASSOCIATIVE,OK
4-chloroaniline~|~p-chloroaniline~|~4-chlorobenzenamine,127.019,2.25126,4.09606,339.06486,0.0,1,1,,ASSOCIATIVE,OK
2-nitroaniline~|~o-nitroaniline~|~2-nitrobenzeneamine,138.043,1.79764,4.5,353.48273,0.0,3,1,,ASSOCIATIVE,sigma: higher
m-nitroaniline~|~3-nitrobenzenamine~|~3-aminonitrobenzene,138.043,3.16452,3.65361,289.8472,0.0,3,1,,ASSOCIATIVE,OK
p-nitroaniline~|~4-aminonitrobenzene,138.043,11.0606,2.17166,144.01604,0.0,3,1,,ASSOCIATIVE,OK
tame~|~methyl-tert-amylether~|~methyl tert-amyl ether~|~methyl tert-pentyl ether~|~2-methoxy-2-methylbutane,102.104,3.28595,3.73161,239.9998,0.0,1,0,,NONPOLAR,OK
(e)-2-octene~|~trans-2-octene,112.125,3.55856,3.87157,252.60601,0.0,0,0,,NONPOLAR,OK
(e)-4-octene~|~trans-4-octene,112.125,3.91463,3.74717,238.27112,0.0,0,0,,NONPOLAR,OK
d-(+)-limonene~|~(r)-1-methyl-4-(1-methylethenyl)cyclohexene,136.125,3.72303,3.91098,280.38514,0.0,0,0,,NONPOLAR,OK
hexylacetate~|~n-hexylacetate~|~hexyl ethanoate,144.115,4.9882,3.54206,237.57314,1.86,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
indane~|~hydrindene,118.078,3.45922,3.66481,299.08758,0.0,0,0,,NONPOLAR,OK
"dea~|~diethanolamine~|~2,2'-diethanolamine",105.079,7.8196,2.51778,132.88053,0.0,3,3,,ASSOCIATIVE,OK
3-methoxypropionitrile~|~3-methoxypropanenitrile,85.053,3.19236,3.41239,313.12197,0.0,2,0,,NONPOLAR,OK
methyl valerate~|~methyl pentanoate,116.084,3.72591,3.59685,252.9441,0.0,2,0,,NONPOLAR,OK
ethyl valerate~|~ethyl pentanoate,130.099,4.45471,3.54323,238.21995,0.0,2,0,,NONPOLAR,OK
butyl valerate~|~n-butyl valerate~|~pentanoicacidbutylester,158.131,4.78442,3.60838,251.73502,0.0,2,0,,NONPOLAR,OK
cis-crotonitrile,67.042,2.65978,3.47419,248.61056,4.08,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
allylcyanide~|~3-butenenitrile~|~vinylacetonitrile,67.042,2.76368,3.41921,276.23149,3.4,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
m-bromonitrobenzene,200.943,3.691,3.58871,344.22279,0.0,2,0,,NONPOLAR,OK
cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane,147.914,2.1497,3.50014,185.06937,0.0,0,0,,NONPOLAR,OK
"r152a~|~difluoroethane~|~1,1-difluoroethane",66.028,2.57721,3.15564,180.47936,2.27,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
ethanethiol~|~ethyl mercaptan,62.019,2.31357,3.44293,262.63287,0.0,1,1,,ASSOCIATIVE,"kappa_ab: lower, epsilon_k_ab: lower"
"r113a~|~1,1,1-trichlorotrifluoroethane~|~1,1,1-trichloro-2,2,2-trifluoroethane",185.902,2.73686,3.77704,236.46641,0.0,0,0,,NONPOLAR,OK
"methyl 3-methoxypropanoate~|~propionic acid,beta-methoxy,methyl ester",118.063,4.53217,3.25371,240.14143,0.0,3,0,,NONPOLAR,OK
2-butanamine~|~sec-butylamine,73.089,3.00348,3.51309,239.36265,0.0,1,1,,ASSOCIATIVE,OK
2-chlorobutane~|~sec-butyl chloride,92.039,2.58818,3.75701,260.48671,2.1,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
sec-butylcyclohexane~|~1-methylpropylcyclohexane,140.157,3.56409,4.0508,286.46953,0.0,0,0,,NONPOLAR,OK
anthracene,178.078,3.21395,4.21848,423.5456,0.0,0,0,,NONPOLAR,OK
2-(2-dimethylaminoethoxu)ethanol~|~2-(2-dimethylaminoethoxy) ethanol,133.11,3.4613,3.86302,273.67447,0.0,3,1,,ASSOCIATIVE,OK
phenanthrene,178.078,3.53516,4.06139,400.53252,0.0,0,0,,NONPOLAR,OK
3-octanol,130.136,4.63658,3.62516,244.16818,0.0,1,1,,ASSOCIATIVE,OK
2-octanol,130.136,3.52503,4.002,277.11137,0.0,1,1,,ASSOCIATIVE,OK
2-pentene,70.078,2.6404,3.68875,236.49912,0.0,0,0,,NONPOLAR,OK
"2,4-dimethylaniline~|~1-amino-2,4-dimethylbenzene",121.089,4.36025,3.39878,231.05137,0.0,1,1,,ASSOCIATIVE,kappa_ab: higher
tributylamine~|~tri-n-butylamine,185.214,5.20053,3.9714,247.64819,0.0,1,0,,NONPOLAR,OK
1-propylnaphthalene~|~1-n-propylnaphthalene,170.11,4.20655,3.88611,321.42408,0.0,0,0,,NONPOLAR,OK
hexylbenzene~|~n-hexylbenzene,162.141,4.43662,3.90101,282.00561,0.0,0,0,,NONPOLAR,OK
butyronitrile~|~butanenitrile~|~n-butyronitrile,69.058,2.88184,3.46741,252.19399,4.07,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",135.97,3.01737,3.32343,184.87384,0.0,0,0,,NONPOLAR,OK
"1,2,3-trichlorobenzene",179.93,3.32058,3.74383,334.18319,2.44,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"2,2-dimethoxypropane~|~3,3-dimethyl-2,4-dioxapentane",104.084,3.54908,3.53176,227.1587,0.0,2,0,,NONPOLAR,OK
aziridine~|~ethylenimine~|~ethyleneimine~|~azacyclopropane,43.042,2.31053,3.11275,259.24488,0.0,1,1,,ASSOCIATIVE,OK
methylcyclohexanamine~|~n-methylcyclohexanamine~|~n-methylcyclohexylamine,113.12,2.07071,4.5,337.85621,0.0,1,1,,ASSOCIATIVE,sigma: higher
"1,3-pentadiene~|~(z)-1,3-pentadiene~|~cis-1,3-pentadiene",68.063,2.68462,3.58773,241.67846,0.0,0,0,,NONPOLAR,OK
isobutylformate~|~2-methylpropyl methanoate,102.068,3.85433,3.38973,229.59887,1.9,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
heptyl acetate~|~n-heptyl acetate~|~heptyl ethanoate~|~aceticacidheptylester,158.131,5.29898,3.58679,240.96585,0.0,2,0,,NONPOLAR,OK
2-octanone,128.12,4.48576,3.62189,251.31303,2.58,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
2-methyl-1-pentanol,102.104,4.85376,3.25213,217.31037,0.0,1,1,,ASSOCIATIVE,OK
diiodomethane,267.825,2.45007,3.6152,381.05637,1.22,0,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
"tripropylamine~|~n,n-dipropyl-1-propanamine",143.167,3.99243,3.98881,252.93432,0.0,1,0,,NONPOLAR,OK
isopropenylacetate~|~1-methylvinyl acetate~|~1-methylvinyl ethanoate,100.052,3.69601,3.37428,236.25236,1.73,2,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
pentylbenzene~|~n-pentylbenzene,148.125,4.12735,3.86451,280.97538,0.0,0,0,,NONPOLAR,OK
tetramethylstannane,179.996,3.02546,3.89123,243.61374,0.0,0,0,,NONPOLAR,OK
"1,5,9-cyclododecatriene~|~cis,trans,trans-1,5,9-cyclododecatriene",162.141,2.87939,4.5,365.86498,0.0,0,0,,NONPOLAR,sigma: higher
cyclododecane,168.188,3.75613,4.19045,317.64824,0.0,0,0,,NONPOLAR,OK
cyclododecanone,182.167,3.9384,4.12604,331.43702,0.0,1,0,,NONPOLAR,OK
vinyl propionate~|~vinyl propanoate~|~propanoicacidethenylester,100.052,3.77659,3.34434,232.74258,0.0,2,0,,NONPOLAR,OK
heptylbenzene~|~n-heptylbenzene,176.157,4.98783,3.8621,274.88065,0.0,0,0,,NONPOLAR,OK
tetrahydrothiophene,88.035,2.47627,3.65909,319.33999,1.9,1,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
triethanolamine,149.105,7.2131,2.96742,189.5816,0.0,4,3,,ASSOCIATIVE,OK
benzo thiophene~|~benzo(b)thiophene~|~benzo[b]thiophene,134.019,2.94649,3.82447,363.07399,0.0,1,0,,NONPOLAR,OK
hydracrylonitrile~|~ethylenecyanohydrin~|~3-hydroxypropanenitrile,71.037,1.24348,4.40997,550.0,0.0,2,1,,ASSOCIATIVE,epsilon_k: higher
dimethyl sulfate,125.999,3.54415,3.35867,286.50493,4.08,4,0,10.1021/acs.iecr.3c02255,DIPOLAR,OK
o-anisidine,123.068,4.04557,3.42518,305.82867,0.0,2,1,,ASSOCIATIVE,kappa_ab: lower
benzyl dimethylamine,135.105,3.57012,3.87556,289.92742,0.0,1,0,,NONPOLAR,OK
p-phenetidine~|~4-ethoxybenzeneamine,137.084,2.1675,4.5,423.60162,0.0,2,1,,ASSOCIATIVE,sigma: higher
tert-butyl bromide~|~2-bromo-2-methylpropane,135.989,2.55378,3.84461,269.49387,0.0,0,0,,NONPOLAR,OK
eugenol,164.084,2.58307,4.47169,354.47428,0.0,2,1,,ASSOCIATIVE,OK
2-ethylpyridine,107.073,3.44995,3.56645,280.89108,0.0,1,0,,NONPOLAR,OK
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,87.994,2.19671,3.1292,122.12982,0.0,0,0,,NONPOLAR,OK
cis-2-octene,112.125,3.31024,3.96513,263.2299,0.0,0,0,,NONPOLAR,OK
cis-3-octene,112.125,3.25207,3.99479,263.47258,0.0,0,0,,NONPOLAR,OK
(z)-4-octene~|~cis-4-octene,112.125,3.17631,4.02573,266.85123,0.0,0,0,,NONPOLAR,OK
"squalane~|~2,6,10,15,19,23-hexamethyltetracosane",422.485,10.56751,4.14394,254.15269,0.0,0,0,,NONPOLAR,OK
