Clapeyron Database File
DIPPR105 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,Tmin,Tmax
628-32-0,ethyl propyl ether,790.8,0.266,500.23,0.292,145.65,500.23
628-71-7,1-heptyne,673.04,0.26045,547.0,0.28388,192.22,547.0
628-80-8,1-methoxy-pentane~|~methyl pentyl ether~|~methyl-n-pentyl ether~|~methyl n-pentyl ether,710.04,0.26981,546.49,0.29974,176.0,546.49
628-99-9,2-nonanol,416.87,0.24056,649.5,0.2916,238.15,649.5
629-05-0,octyne~|~1-octyne,589.45,0.26052,574.0,0.28532,193.55,574.0
629-50-5,tridecane~|~n-tridecane,299.34,0.2433,675.0,0.28571,267.76,675.0
629-59-4,tetradecane~|~n-tetradecane,272.48,0.24007,693.0,0.28571,279.01,693.0
629-62-9,pentadecane~|~n-pentadecane,251.42,0.23837,708.0,0.28571,283.07,708.0
629-78-7,heptadecane~|~n-heptadecane,218.97,0.23642,736.0,0.28571,295.13,736.0
629-92-5,nonadecane~|~n-nonadecane,191.99,0.23337,758.0,0.28571,305.04,758.0
630-08-0,carbon monoxide,2897.0,0.27532,132.92,0.2813,68.15,132.92
689-97-4,butenyne~|~1-buten-3-yne~|~vinylacetylene,1270.3,0.26041,454.0,0.297,173.15,454.0
693-02-7,hexyne~|~1-hexyne,844.27,0.27185,516.2,0.2771,141.25,516.2
693-89-0,methylcyclopentene~|~1-methylcyclopentene,888.24,0.26914,542.0,0.27874,146.62,542.0
764-35-2,2-hexyne,762.77,0.25248,549.0,0.31611,183.65,549.0
764-93-2,1-decyne,468.77,0.25875,619.85,0.29479,229.15,619.85
872-05-9,1-decene,439.81,0.25661,616.6,0.29148,206.89,616.6
928-49-4,3-hexyne,780.45,0.26065,544.0,0.28571,170.05,544.0
992-94-9,methylsilane,1305.2,0.26757,352.5,0.28799,116.34,352.5
993-00-0,methyl chlorosilane,1067.4,0.26257,442.0,0.26569,139.05,442.0
1111-74-6,dimethylsilane,1021.4,0.26351,402.0,0.28421,122.93,402.0
1120-21-4,undecane~|~n-undecane,367.03,0.24876,639.0,0.28571,247.57,639.0
1120-62-3,3-methylcyclopentene,910.9,0.276,526.0,0.26756,115.0,526.0
1333-74-0,hydrogen,5414.0,0.34893,33.19,0.2706,13.95,33.19
1455-21-6,1-nonanethiol~|~nonyl mercaptan~|~n-nonyl mercaptan,473.77,0.27052,681.0,0.30284,253.05,681.0
1551-21-9,3-methyl-2-thiabutane~|~methyl isopropyl sulfide,789.12,0.25915,553.1,0.26512,171.64,553.1
1569-69-3,cyclohexanethiol~|~cyclohexyl mercaptan,785.78,0.27882,664.0,0.31067,189.64,664.0
1634-04-4,methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane,928.0,0.289,497.1,0.286,164.55,497.1
1639-09-4,1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan,586.22,0.2726,645.0,0.29644,229.92,645.0
1640-89-7,ethylcyclopentane,717.51,0.26903,569.5,0.27733,134.71,569.5
1678-91-7,ethylcyclohexane,615.87,0.26477,609.15,0.28054,161.84,609.15
2084-19-7,2-pentanethiol~|~2-pentyl mercaptan,658.58,0.25367,584.3,0.28571,160.75,584.3
2207-01-4,"cis-1,2-dimethylcyclohexane",529.53,0.24358,606.15,0.26809,223.16,606.15
2551-62-4,sulfur hexafluoride,1358.7,0.2701,318.69,0.2921,223.15,318.69
3004-93-1,2-methyloctanoic acid~|~2-methyl-octanoicacid,441.6,0.2521,694.0,0.28532,240.0,694.0
3452-09-3,1-nonyne,521.52,0.25918,598.05,0.29177,223.15,598.05
3877-15-4,2-thiapentane~|~methylpropyl sulfide~|~1-(methylthio)-propane~|~methyl-n-propyl sulfide~|~methyl n-propyl sulfide,874.96,0.26862,565.0,0.30259,160.17,565.0
5756-43-4,1-ethoxy-hexane~|~ethylhexyl ether,557.29,0.2714,583.0,0.29538,180.0,583.0
6032-29-7,2-pentanol~|~pentan-2-ol,793.24,0.25806,561.0,0.28571,200.0,561.0
6876-23-9,"1,2-dimethylcyclohexane~|~trans-1,2-dimethylcyclohexane",544.05,0.25026,596.15,0.2658,184.99,596.15
7440-01-9,neon,7371.8,0.3067,44.4,0.2786,24.56,44.4
7440-37-1,argon,3846.9,0.2881,150.86,0.29783,83.78,150.86
7440-59-7,helium~|~helium-4,7247.5,0.41865,5.2,0.24096,2.2,5.2
7443-52-9,trans-2-methylcyclohexanol,728.36,0.27241,617.0,0.2478,269.15,617.0
7443-70-1,cis-2-methylcyclohexanol,709.73,0.26544,614.0,0.26016,280.15,614.0
7446-09-5,sulfur dioxide,2106.0,0.25842,430.75,0.2895,197.67,430.75
7446-11-9,sulfur trioxide,1496.9,0.19013,490.85,0.4359,289.95,490.85
7647-01-0,hcl~|~hydrogen chloride~|~hydrochloric acid,3342.0,0.2729,324.65,0.3217,158.97,324.65
7664-39-3,hydrogen fluoride,2563.5,0.1766,461.15,0.3733,189.79,461.15
7664-41-7,ammonia,3538.3,0.25443,405.65,0.2888,195.41,405.65
7726-95-6,bromine,2187.2,0.29527,584.15,0.3295,265.85,584.15
7727-37-9,nitrogen,3209.1,0.2861,126.2,0.2966,63.15,126.2
7778-85-0,"1,2-dimethoxypropane",763.27,0.26742,543.0,0.28571,226.1,543.0
7782-39-0,deuterium,5211.5,0.315,38.35,0.28571,18.73,38.35
7782-41-4,fluorine,4289.5,0.28587,144.12,0.28776,53.48,144.12
7782-44-7,oxygen,3914.3,0.28772,154.58,0.2924,54.35,154.58
7782-50-5,cl2~|~chlorine,2230.0,0.27645,417.15,0.2926,172.12,417.15
7783-06-4,hydrogen sulfide,2767.2,0.27369,373.53,0.29015,187.68,373.53
7783-54-2,nitrogen trifluoride,2373.6,0.2817,234.0,0.29529,66.46,234.0
7783-61-1,tetrafluorosilane~|~silicon tetrafluoride,1194.5,0.24128,259.0,0.16693,186.35,259.0
10024-97-2,nitrous oxide,2781.0,0.27244,309.57,0.2882,182.3,309.57
10028-15-6,ozone,3359.2,0.29884,261.0,0.28523,80.15,261.0
10035-10-6,hydrogen bromide,2832.0,0.2832,363.15,0.28571,185.15,363.15
10102-43-9,nitric oxide~|~nitrogen oxide (no),5246.0,0.3044,180.15,0.242,109.5,180.15
13511-13-2,propenyl cyclohexene~|~1-[(e)-prop-1-enyl]-cyclohexene,612.55,0.26769,636.0,0.28571,199.0,636.0
132259-10-0,air,2896.3,0.26733,132.45,0.27341,59.15,132.45
7732-18-5,water,7.990439227144956,0.0112,649.727,0.05107,273.0,648.0
