Clapeyron database file
ideal gas formation enthalpies and entropies at 1 bar, 298.15 K  [csvtype = single,sep = ;]
CAS;species;H0;S0
124-7-2;caprylic acid~|~octanoic acid~|~n-octanoic acid;-554300;
124-10-7;methyl myristate~|~methyl tetradecanoate~|~tetradecanoic acid methyl ester;-656900;
124-12-9;octanenitrile;-50500;
124-13-0;octanal~|~1-octanal;-291900;365.4
124-18-5;decane~|~n-decane;-249500;
124-38-9;carbon dioxide;-393500;213.8
124-40-3;dimethylamine;-18800;273.1
124-73-2;1,2-dibromotetrafluoroethane~|~1,2-dibromo-1,1,2,2-tetrafluoroethane;-789100;
126-84-1;2,2-diethoxypropane;-506900;
127-18-4;tetrachloroethene~|~tetrachloroethylene;-10900;
127-19-5;n,n-dimethylacetamide~|~n,n-dimethylethanamide;-228000;
127-91-3;beta-pinene~|~.beta.-pinene;38700;
128-37-0;butylhydroxytoluene~|~2,6-di-tert-butyl-p-cresol~|~2,6-di-tert.butyl-4-methylphenol~|~2,6-bis(1,1-dimethylethyl)-4-methylphenol;-296900;
129-0-0;pyrene;225700;
132-64-9;dibenzofuran~|~dibenzo[bd]furan~|~dibenzo[b,d]furan;83400;
132-65-0;dibenzothiophene;205100;
134-32-7;1-naphthalenamine;132800;
134-81-6;Benzil;-55500;
135-19-3;2-naphthol~|~2-hydroxynaphthalene;-29900;366.6
140-88-5;ethyl acrylate~|~ethyl propenoate~|~2-propenoicacidethylester;-354200;
141-6-0;Propyl pentanoate;-533600;
141-32-2;n-butyl acrylate~|~butyl 2-propenoate~|~2-propenoicacidbutylester;-375300;
141-78-6;ethylacetate~|~ethyl ethanoate;-443600;
142-28-9;1,3-dichloropropane;-159200;
142-29-0;cyclopentene;34000;
142-62-1;hexanoic acid~|~n-hexanoic acid~|~n-pentyl formate;-511900;
142-68-7;thp~|~tetrahydropyran;-223400;
142-82-5;heptane~|~n-heptane;-187600;
142-84-7;dipropylamine~|~1-propanamine~|~di-n-propylamine;-116000;
142-96-1;dibutyl ether~|~di-n-butylether;-332800;
143-7-7;lauric acid~|~dodecanoic acid~|~n-dodecanoic acid;-642000;
143-8-8;1-nonanol~|~nonan-1-ol;-376500;
143-10-2;1-decanethiol~|~decyl mercaptan~|~n-decyl mercaptan;-211500;
143-15-7;1-bromododecane;-269900;
144-62-7;oxalic acid;-731800;320.6
147-85-3;L-Proline;-366200;
149-57-5;2-ethylhexanoic acid~|~2-ethyl-hexanoic acid;-559500;
150-13-0;Aniline-4-carboxylic acid;-296700;
151-56-4;aziridine~|~ethylenimine~|~ethyleneimine~|~azacyclopropane;126500;
151-67-7;halothane~|~2-bromo-2-chloro-1,1,1-trifluoroethane~|~1-bromo-1-chloro-2,2,2-trifluoroethane;-690400;
156-59-2;cis-1,2-dichloroethene~|~(z)-1,2-dichloroethene~|~cis-1,2-dichloroethylene;4600;289.6
156-60-5;trans-1,2-dichloroethene~|~trans-1,2-dichloroethylene;5000;290.0
157-20-0;Thiirene;300000;255.3
157-40-4;spiro[2.2]pentane;185200;
180-43-8;spiro[5.5]undecane;-188300;
206-44-0;fluoranthene;289000;
208-96-8;acenaphthylene~|~acenaphthalene;259700;
218-1-9;chrysene;269800;
229-87-8;phenanthridine;240500;
260-94-6;acridine;273900;
271-44-3;1H-Indazole;243000;
273-53-0;benzoxazole;44800;
275-51-4;bicyclo[5.3.0]deca-2,4,6,8,10-pentaene;289100;
279-23-2;norbornane~|~bicyclo[2.2.1]heptane;-54800;
287-23-0;cyclobutane;27700;
287-27-4;thiacyclobutane~|~trimethylene sulfide;60600;285.0
287-92-3;cyclopentane;-76400;
288-13-1;pyrazole;179400;
288-14-2;isoxazole~|~1,2-oxazole;78600;
288-32-4;imidazole~|~1h-imidazole;132900;
288-42-6;oxazole~|~1,3-oxazole;-15500;
289-80-5;pyridazine;278300;
289-95-2;pyrimidine~|~1,3-diazabenzene;195700;
290-37-9;pyrazine;196100;
291-21-4;1,3,5-Trithiane;80000;336.4
291-64-5;cycloheptane;-118100;
292-64-8;cyclooctane;-124400;
302-1-2;hydrazine;95400;238.5
334-48-5;capric acid~|~decanoic acid~|~n-decanoic acid;-594900;
335-57-9;perfluoroheptane~|~perfluoro-n-heptane~|~hexadecafluoroheptane;-3383600;
344-7-0;chloropentafluorobenzene;-809300;
352-32-9;4-fluorotoluene~|~1-fluoro-4-methylbenzene;-147400;
352-93-2;3-thiapentane~|~diethylsulfide;-83500;368.1
353-50-4;carbonyl fluoride;-639800;
353-83-3;1,1,1-Trifluoro-2-iodoethane;-644500;
353-85-5;trifluoroacetonitrile~|~trifluoroethanenitrile;-497900;298.1
354-6-3;1-Bromo-2-chloro-1,1,2-trifluoroethane;-644800;
354-33-6;r125~|~pentafluoroethane;-1100400;
354-51-8;1,2-dibromo-2-chloro-1,1,2-trifluroethane~|~1,2-dibromo-1-chloro-1,2,2-trifluoroethane;-656600;
354-55-2;Bromopentafluoroethane;-1064400;
355-2-2;perfluoromethylcyclohexane~|~(trifluoromethyl)undecaflurocyclohexane;-2897200;
355-68-0;Perfluorocyclohexane;-2370400;
355-75-9;cyclohexene, decafluoro-;-1932700;
359-10-4;r1122~|~2-chloro-1,1-difluoroethylene~|~1-chloro-2,2-difluoroethylene;-315500;303.0
359-11-5;r1123~|~trifluoroethene~|~trifluoroethylene;-490500;
363-72-4;pentafluorobenzene;-806500;
367-11-3;1,2-difluorobenzene;-293800;
367-57-7;1,1,1-Trifluoro-2,4-pentanedione;-993300;
372-18-9;1,3-difluorobenzene;-309200;
392-56-3;perfluorobenzene~|~hexafluorobenzene;-955400;
420-12-2;thiirane~|~thiacyclopropane~|~ethylene sulfide;82000;255.2
420-26-8;2-Fluoropropane;-293500;
420-46-2;r143a~|~1,1,1-trifluoroethane;-744600;279.9
421-6-7;2-Bromo-1,1,1-trifluoroethane;-694500;
430-66-0;r143~|~1,1,2-trifluoroethane;-730700;
460-13-9;1-Fluoropropane;-285900;
460-19-5;cyanogen~|~ethanedinitrile;306700;241.9
462-6-6;fluorobenzene;-115900;
462-95-3;ethylal~|~diethoxymethane;-414700;
463-49-0;propadiene~|~1,2-propadiene;190500;
463-51-4;ketene~|~ethenone;-47500;247.6
463-58-1;carbonyl sulfide;-142000;231.6
463-82-1;neopentane~|~2,2-dimethylpropane;-168000;
464-6-2;2,2,3-trimethylbutane~|~2,2,3-trimethyl-butane;-204400;
471-46-5;Oxamide;-387100;
471-47-6;Oxamic acid;-552300;
493-1-6;cis-decalin~|~decahydronaphthalene~|~cis-decahydronaphthalene;-169200;
493-2-7;trans-decalin~|~trans-decahydronaphthalene;-182100;
496-11-7;indane~|~hydrindene;60300;
497-26-7;methyldioxolane~|~2-methyl-1,3-dioxolane;-352000;
502-56-7;5-nonanone;-344900;
503-17-3;2-butyne~|~dimethylacetylene;145700;
503-30-0;oxetane~|~1,3-propylene oxide;-80500;
503-74-2;isovaleric acid~|~3-methylbutanoic acid;-510000;
504-63-2;1,3-propanediol~|~propan-1,3-diol~|~1 3-propylene glycol~|~1,3-propylene glycol;-408000;
505-22-6;1,3-dioxane;-340600;
505-23-7;1,3-Dithiane;-10000;333.5
505-29-3;1,4-Dithiane;0;326.2
506-30-9;arachidic acid~|~eicosanoic acid;-812400;
506-68-3;Cyanogen bromide;186200;248.3
506-77-4;cyanogen chloride;138000;236.2
506-78-5;Cyanogen iodide;225500;256.8
506-82-1;Dimethyl cadmium;101600;303.0
506-96-7;acetyl bromide;-190400;
507-2-8;Acetyl iodide;-126400;
507-9-5;Thioacetic acid;-175100;
507-19-7;tert-butyl bromide~|~2-bromo-2-methylpropane;-132400;
507-20-0;tert-butyl chloride~|~2-chloro-2-methylpropane;-182200;
507-25-5;Tetraiodomethane;474000;391.9
509-14-8;tetranitromethane;82400;503.7
513-35-9;2-methyl-2-butene;-41700;
513-36-0;isobutyl chloride~|~1-chloro-2-methylpropane~|~1-chloro-2-methyl-propane;-159300;
513-44-0;isobutyl mercaptan~|~iso-butylmercaptan~|~2-methyl-1-propanethiol;-97300;
517-25-9;Trinitromethane;-13400;435.6
526-73-8;1,2,3-trimethylbenzene;-9500;
526-75-0;2,3-xylenol~|~2,3-dimethylphenol;-157200;
533-73-3;1,2,4-Benzenetriol;-444000;
533-98-2;1,2-Dibromobutane;-91600;
534-15-6;1,1-dimethoxyethane;-389700;
535-80-8;3-Chlorobenzoic acid;-342300;
538-93-2;isobutylbenzene~|~2-methylpropyl benzene~|~(2-methylpropyl)benzene;-21900;
539-82-2;ethyl valerate~|~ethyl pentanoate;-505900;
540-36-3;1,4-difluorobenzene;-306700;
540-54-5;propyl chloride~|~1-chloropropane;-131900;
540-63-6;1,2-ethanedithiol;-9700;
540-67-0;methylethylether~|~ethyl methyl ether;-216400;309.2
540-73-8;1,2-Dimethylhydrazine;92200;
540-84-1;isooctane~|~2,2,4-trimethylpentane;-224000;
540-88-5;tert-butylacetate~|~1,1-dimethylethyl ethanoate;-516500;
541-31-1;3-methyl-1-butanethiol;-114900;
541-35-5;butanamide;-282000;
541-41-3;ethyl chloroformate~|~ethyl chloromethanoate;-462900;
541-73-1;m-dichlorobenzene~|~1,3-dichlorobenzene;25700;
542-18-7;chlorocyclohexane;-163700;
542-28-9;tetrahydropyran-2-one;-379600;
542-92-7;cyclopentadiene~|~1,3-cyclopentadiene;134300;
543-59-9;1-chloropentane;-174900;
544-2-5;diisopentylsulfide;-221500;
544-40-1;5-thianonane~|~dibutylsulfide~|~di-n-butylsulfide;-167700;
544-63-8;myristic acid~|~tetradecanoic acid;-693700;
544-76-3;hexadecane~|~n-hexadecane;-374800;
544-85-4;dotriacontane~|~n-dotriacontane;-697200;
544-97-8;Dimethyl zinc;53000;
553-90-2;dimethyl ethanedioate;-708900;
554-14-3;2-methylthiophene;83500;
556-56-9;3-Iodopropene;91500;
557-17-5;1-methoxypropane~|~methylpropyl ether~|~methyl-n-propylether~|~methyl n-propyl ether;-238100;
557-22-2;1,2-Dithiolane;0;313.5
557-98-2;2-chloropropene~|~2-chloropropylene~|~2-chloro-1-propene;-21000;
557-99-3;Acetyl fluoride;-442100;
558-13-4;Tetrabromomethane;83900;358.1
558-17-8;2-Iodo-2-methylpropane;-72100;
558-37-2;3,3-dimethyl-1-butene;-60300;
560-21-4;2,3,3-trimethylpentane;-216300;
560-95-2;bromotrinitromethane;80300;
562-49-2;3,3-dimethylpentane;-201000;
563-16-6;3,3-dimethylhexane;-219900;
563-45-1;3-methyl-1-butene;-27500;
563-46-2;2-methyl-1-butene;-35200;
563-78-0;2,3-dimethyl-1-butene;-62400;
563-79-1;2,3-dimethyl-2-butene;-68100;
563-80-4;3-methyl-2-butanone~|~methyl isopropyl ketone;-262600;
563-83-7;2-Methylpropanamide;-282600;
564-2-3;2,2,3-trimethylpentane;-220000;
564-4-5;2,2-dimethyl-3-pentanone;-313600;
565-59-3;2,3-dimethylpentane;-198700;
565-69-5;2-methyl-3-pentanone~|~ethyl isopropyl ketone;-286000;
565-75-3;2,3,4-trimethylpentane;-217300;
565-80-0;diisopropyl ketone~|~di-isopropyl ketone~|~2,4-dimethyl-3-pentanone;-311300;
576-26-1;2,6-xylenol~|~2,6-dimethylphenol;-162100;
583-48-2;3,4-dimethylhexane;-212800;
583-58-4;3,4-dimethylpyridine;68800;
583-61-9;2,3-dimethylpyridine;67100;
584-2-1;3-pentanol;-314900;
584-94-1;2,3-dimethylhexane;-213800;
589-38-8;3-hexanone;-277600;
589-43-5;2,4-dimethylhexane~|~2 4-dimethylhexane;-219200;
589-53-7;4-methylheptane;-211900;
589-81-1;3-methylheptane;-212500;
589-93-5;2,5-dimethylpyridine;66500;
590-2-3;Butyl chloroacetate;-487400;
590-13-6;cis-1-Bromopropene;40800;
590-18-1;(z)-2-butene~|~cis-2-butene;-7100;
590-19-2;1,2-butadiene;162300;
590-26-1;(z)-1,2-diiodoethene;-207400;
590-35-2;2,2-dimethylpentane;-205700;
590-66-9;1,1-dimethylcyclohexane;-180900;
590-73-8;2,2-dimethylhexane;-224500;
591-7-1;N-(Aminocarbonyl)acetamide;-441200;
591-22-0;3,5-dimethylpyridine;72000;
591-50-4;iodobenzene;164900;
591-68-4;butyl valerate~|~n-butyl valerate~|~pentanoicacidbutylester;-560200;
591-76-4;2-methylhexane;-194500;
591-78-6;2-hexanone;-278900;
591-93-5;1,4-pentadiene;105700;
591-95-7;1,2-pentadiene;140700;
591-96-8;2,3-pentadiene;133100;
592-13-2;2,5-dimethylhexane;-222500;
592-27-8;2-methylheptane;-215300;
592-41-6;hexene~|~1-hexene~|~hex-1-ene;-43500;
592-42-7;1,5-hexadiene;84200;
592-65-4;2,6-dimethyl-4-thiaheptane;-180500;
592-76-7;1-heptene;-62300;
593-45-3;octadecane~|~n-octadecane;-414600;
593-60-2;bromoethene~|~vinyl bromide;79200;275.8
593-74-8;dimethylmercury;94400;306.0
593-75-9;Isocyanomethane;163500;246.9
593-90-8;Trimethylborane;-124300;314.7
593-95-3;Carbonyl bromide;-96200;309.1
594-20-7;2,2-dichloropropane;-173200;
594-27-4;tetramethylstannane;-18800;
594-34-3;1,2-dibromo-2-methylpropane;-113300;
594-36-5;2-chloro-2-methylbutane;-202200;
594-51-4;2,3-Dibromo-2-methylbutane;-137600;
594-56-9;2,3,3-trimethyl-1-butene;-85500;
594-70-7;2-methyl-2-nitropropane;-177100;
594-82-1;2,2,3,3-tetramethylbutane;-226000;
598-5-0;Dipropyl sulfate;-792000;
598-29-8;1,2-Diiodopropane;35600;
598-31-2;Bromoacetone;-181000;
598-53-8;methylisopropylether~|~isopropyl methyl ether;-252000;
598-58-3;Methyl nitrate;-122000;305.8
598-78-7;2-chloropropanoic acid;-475800;
598-98-1;methyl 2,2-dimethylpropanoate;-491200;
601-76-3;1,1-dinitropropane;-100700;
603-34-9;triphenylamine;326800;
609-26-7;2-methyl-3-ethylpentane~|~3-ethyl-2-methylpentane~|~2-methyl-3-ethyl-pentane;-211000;
609-39-2;2-Nitrofuran;-28800;
611-14-3;o-ethyltoluene~|~1-methyl-2-ethylbenzene~|~1-ethyl-2-methylbenzene;1300;
612-55-5;2-Iodonaphthalene;235100;
615-38-3;cis-2-methylcyclohexanol;-327000;
615-39-4;trans-2-Methylcyclohexanol, (±)-;-352500;
616-2-4;3-Methyl-2,5-furandione;-447200;
616-12-6;(e)-3-methyl-2-pentene~|~3-methyl-trans-2-pentene~|~trans-3-methyl-2-pentene;-63100;
616-23-9;2,3-dichloro-1-propanol;-316300;
616-42-2;dimethylester sulfurous acid;-483400;
616-43-3;3-Methylpyrrole;70200;
616-44-4;methylthiophene~|~3-methyl thiophene;82500;
617-78-7;3-ethylpentane;-189500;
618-45-1;3-(1-methylethyl)phenol;-196000;
619-99-8;3-ethylhexane;-210700;
620-14-4;m-ethyltoluene~|~1-methyl-3-ethylbenzene~|~1-ethyl-3-methylbenzene;-1800;
620-17-7;m-ethylphenol~|~3-ethylphenol;-146100;
622-42-4;(Nitromethyl)benzene;30700;
622-96-8;p-ethyltoluene~|~1-ethyl-4-methylbenzene;-3200;
623-30-3;3-(2-Furanyl)-2-propenal;-105900;
623-43-8;Methyl trans-2-butenoate;-341900;
623-70-1;Ethyl trans-2-butenoate;-375600;
623-81-4;diethylsulfite;-552200;
624-24-8;methyl valerate~|~methyl pentanoate;-471100;
624-29-3;cis-1,4-dimethylcyclohexane;-176600;
624-64-6;(e)-2-butene~|~trans-2-butene;-11400;
624-73-7;1,2-Diiodoethane;75000;
624-79-3;Ethyl isocyanide;141700;
624-89-5;2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide~|~ethyl methyl sulfide;-59600;
624-91-9;Methyl nitrite;-66100;
624-92-0;2,3-dithiabutane~|~dimethyldisulfide;-24700;
625-27-4;2-methyl-2-pentene;-66900;
625-58-1;ethyl nitrate;-154100;
625-60-5;ethyl thioacetate~|~ethyl thiolacetate;-228100;
625-65-0;2,4-dimethyl-2-pentene;-88700;
625-76-3;Dinitromethane;-61500;358.1
625-80-9;diisopropyl sulfide~|~2,4-dimethyl-3-thiapentane;-142000;
625-84-3;2,5-dimethyl pyrrole~|~2,5-dimethyl-1h-pyrrole;39800;
626-26-6;2-(1-methylpropylthio)butane;-167700;
626-85-7;Dibutyl sulfite;-625300;
626-97-1;Pentanamide;-290200;
627-5-4;1-nitrobutane;-143900;369.9
627-12-3;Propyl carbamate;-471400;
627-13-4;n-propyl nitrate;-174100;362.6
627-20-3;(z)-2-pentene~|~cis-2-pentene;-27600;
627-26-9;trans-crotonitrile;134300;
627-44-1;Diethyl mercury;75300;
628-2-4;hexanamide;-324200;
628-5-7;1-nitropentane;-164400;390.9
628-28-4;methylbutyl ether~|~butyl methyl ether~|~methyl-n-butylether~|~methyl n-butyl ether;-258100;
628-29-5;2-thiahexane~|~methylbutyl sulfide~|~1-(methylthio)butane~|~methyl n-butyl sulfide~|~methyl-n-butyl sulfide;-102400;
628-32-0;ethyl propyl ether;-272000;
628-34-2;2-Chloroethyl ethyl ether;-301300;
629-1-6;Octanamide;-362700;
629-4-9;1-bromoheptane;-167800;
629-8-3;heptanenitrile;-31000;
629-11-8;1,6-hexanediol;-461200;
629-14-1;3,6-dioxaoctane~|~1,2-diethoxyethane;-408100;
629-19-6;4,5-dithiaoctane~|~dipropyldisulfide~|~di-n-propyl disulfide;-118300;
629-45-8;5,6-dithiadecane~|~di-n-butyl disulfide;-160600;
629-63-0;tetradecanenitrile;-174900;
629-73-2;1-hexadecene;-248400;
630-8-0;carbon monoxide;-110500;197.7
630-18-2;2,2-dimethylpropionitrile~|~2,2-dimethylpropanenitrile;-2300;
631-65-2;2-Chloro-3-methylbutane;-185100;
636-41-9;2-Methylpyrrole;74000;
637-92-3;etbe~|~tert-butyl ethyl ether~|~ethyl tert-butyl ether~|~2-ethoxy-2-methylpropane~|~2-ethoxy-2-methyl-propane;-313900;
638-4-0;cis-1,3-dimethylcyclohexane;-184600;
638-28-8;2-Chlorohexane;-204300;
638-46-0;3-thiaheptane~|~ethyl butyl sulfide;-127800;
641-6-5;Triacetamide;-550100;
645-49-8;cis-stilbene~|~(z)-1,2-diphenylethene;252300;
646-4-8;(e)-2-pentene~|~trans-2-pentene;-31900;
646-6-0;1,3-dioxolane;-298000;
660-88-8;5-Aminopentanoic acid;-460000;
670-54-2;Tetracyanoethene;705000;
674-76-0;(e)-4-methyl-2-pentene~|~4-methyl-trans-2-pentene;-61500;
674-82-8;diketene~|~4-methylene-2-oxetanone;-190300;
677-21-4;r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf);-614200;
683-68-1;1,2-Dibromo-1,2-dichloroethane;-36900;
690-8-4;(e)-4,4-dimethyl-2-pentene~|~trans-4,4-dimethyl-2-pentene;-88800;
690-92-6;(z)-2,2-dimethyl-3-hexene~|~cis-2,2-dimethyl-3-hexene;-89300;
690-93-7;(e)-2,2-dimethyl-3-hexene~|~trans-2,2-dimethyl-3-hexene;-107700;
691-37-2;4-methyl-1-pentene;-51300;
691-38-3;cis-4-methyl-2-pentene~|~(z)-4-methyl-2-pentene~|~4-methyl-cis-2-pentene;-57500;
693-23-2;dodecanedioic acid;-976900;
693-89-0;methylcyclopentene~|~1-methylcyclopentene;-3800;
693-95-8;4-methylthiazole;111800;
700-12-9;pentamethylbenzene~|~1,2,3,4,5-pentamethylbenzene;-67200;
754-10-9;2,2-Dimethylpropanamide;-313100;
760-20-3;3-methyl-1-pentene;-49500;
760-21-4;2-ethyl-1-butene;-56000;
762-62-9;4,4-dimethyl-1-pentene;-81600;
762-63-0;(z)-4,4-dimethyl-2-pentene~|~cis-4,4-dimethyl-2-pentene;-72600;
763-29-1;2-methyl-1-pentene;-59400;
764-42-1;fumaronitrile;340200;
765-30-0;cyclopropanamine~|~cyclopropylamine;77000;
765-85-5;methyl cyclobutanecarboxylate;-350200;
766-5-2;cyanocyclohexane;4800;
766-94-9;Phenyl vinyl ether;22700;
768-66-1;2,2,6,6-Tetramethylpiperidine;-159900;
771-56-2;2,3,4,5,6-pentafluorotoluene;-842700;
811-93-8;2-methyl-1,2-propanediamine;-90300;
821-55-6;2-nonanone;-340700;
821-67-0;Azopropane;51300;
822-35-5;cyclobutene;156700;
822-50-4;trans-1,2-dimethylcyclopentane~|~1,trans-2-dimethylcyclopentane;-136600;
826-36-8;2,2,6,6-Tetramethyl-4-piperidinone;-273400;
827-52-1;cyclohexylbenzene~|~phenylcyclohexane;-16700;
871-83-0;2-methylnonane~|~2-methyl-nonane;-260200;
872-5-9;1-decene;-123300;
872-10-6;6-thiaundecane;-204900;
872-36-6;1,3-Dioxol-2-one;-418600;
873-49-4;Cyclopropylbenzene;150500;
922-62-3;(z)-3-methyl-2-pentene~|~3-methyl-cis-2-pentene~|~cis-3-methyl-2-pentene;-62300;
930-90-5;trans-1-Ethyl-2-methylcyclopentane;-156200;
933-52-8;2,2,4,4-Tetramethyl-1,3-cyclobutanedione;-307600;
1002-84-2;pentadecanoic acid~|~n-pentadecanoic acid;-699000;
1003-3-8;cyclopentanamine~|~cyclopentylamine;-54900;
1003-64-1;Ethylidenecyclohexane;-59500;
1055-23-8;9,9'-Bianthracene;454300;
1067-8-9;3-ethyl-3-methylpentane~|~3-methyl-3-ethylpentane;-214800;
1067-20-5;3,3-diethylpentane;-233300;
1069-53-0;2,3,5-trimethylhexane;-242600;
1070-87-7;2,2,4,4-tetramethylpentane;-241600;
1071-98-3;2-Butynedinitrile;529200;
1072-43-1;Methylthiirane;45800;
1119-49-9;N-Butylacetamide;-305900;
1120-21-4;undecane~|~n-undecane;-270800;
1120-56-5;exo-methylenecyclobutane;121600;
1120-59-8;2,3-Dihydrothiophene;90700;303.5
1120-62-3;3-methylcyclopentene;7400;
1120-64-5;2-Methyl-2-oxazoline;-130500;
1120-97-4;4-methyl-1,3-dioxane;-376900;
1186-53-4;2,2,3,4-tetramethylpentane;-236900;
1187-3-7;tetraethylurea~|~n,n,n',n'-tetraethylurea;-316400;
1190-22-3;1,3-dichlorobutane;-195000;
1191-8-8;1,4-Butanedithiol;-50600;
1192-18-3;(z)-1,2-dimethylcyclopentane~|~cis-1,2-dimethylcyclopentane~|~1,cis-2-dimethylcyclopentane;-129500;
1192-37-6;methylenecyclohexane;-25200;
1303-86-2;Boron oxide;-843800;279.8
1304-28-5;Barium oxide;-112000;
1310-58-3;Potassium hydroxide;-232000;238.3
1310-65-2;Lithium hydroxide;-229000;214.4
1310-73-2;Sodium hydroxide;-191000;229.0
1310-82-3;Rubidium hydroxide;-238000;248.5
1312-41-0;Indium antimonide;344300;
1314-8-5;Palladium(II) oxide;348900;218.0
1314-11-0;Strontium oxide;1500;
1314-68-7;Rhenium(VII) oxide;-1100000;452.0
1333-74-0;hydrogen;0;130.7
1333-82-0;Chromium(VI) oxide;-292900;266.2
1344-57-6;Uranium(IV) oxide;-465700;274.6
1484-12-4;9-methyl-9h-carbazole;201000;
1487-18-9;2-Vinylfuran;27800;
1499-10-1;9,10-Diphenylanthracene;465600;
1511-62-2;bromodifluoromethane;-424900;295.1
1551-21-9;3-methyl-2-thiabutane~|~methyl isopropyl sulfide;-90500;
1569-69-3;cyclohexanethiol~|~cyclohexyl mercaptan;-96200;
1574-41-0;1,3-pentadiene~|~(z)-1,3-pentadiene~|~cis-1,3-pentadiene;81400;
1590-87-0;disilane;80300;272.7
1613-51-0;thiacyclohexane~|~tetrahydrothiopyran;-63500;323.0
1615-75-4;1-Chloro-1-fluoroethane;-313400;
1630-94-0;1,1-Dimethylcyclopropane;-8200;
1633-97-2;2-methyl-2-pentanethiol;-148300;
1634-4-4;mtbe~|~methyl-t-butylether~|~methyl tert-butyl ether~|~2-methoxy-2-methylpropane;-283700;
1638-26-2;1,1-dimethylcyclopentane;-138200;
1639-1-6;2,3-dimethyl-2-butanethiol;-147900;
1639-9-4;1-heptanethiol~|~heptyl mercaptan~|~n-heptyl mercaptan;-149900;
1640-89-7;ethylcyclopentane;-126900;
1678-91-7;ethylcyclohexane;-171500;
1678-92-8;propylcyclohexane~|~n-propylcyclohexane~|~1-cyclohexylpropane;-192300;
1678-93-9;butylcyclohexane~|~n-butylcyclohexane;-213700;
1679-7-8;cyclopentanethiol;-48100;
1679-8-9;2,2-dimethyl-1-propanethiol;-129000;
1679-9-0;2-methyl-2-butanethiol~|~2-methyl-2-butyl mercaptan;-127100;
1708-32-3;2,5-dihydrothiophene;86900;297.1
1712-64-7;isopropyl nitrate;-191000;
1731-84-6;methyl nonanoate~|~nonanoic acid methyl ester;-554200;
1731-86-8;Methyl undecanoate;-593800;
1731-88-0;methyl tridecanoate;-635300;
1741-83-9;2-thiaheptane~|~methylpentylsulfide;-121800;
1759-58-6;trans-1,3-dimethylcyclopentane~|~(1r,3r)-1,3-dimethylcyclopentane;-133600;
1759-81-5;4-methylcyclopentene;14600;
1795-26-2;1a,3a,5b-trimethylcyclohexane;-212100;
1855-63-6;1-Cyclohexenecarbonitrile;101600;
1943-16-4;Chlorotrinitromethane;18400;
1975-78-6;1-decanenitrile;-91500;
2004-70-8;1-trans-3-pentadiene~|~(e)-1,3-pentadiene~|~trans-1,3-pentadiene;76100;
2040-96-2;propylcyclopentane~|~n-propylcyclopentane;-147700;
2074-87-5;Cyanide;437600;202.6
2084-18-6;3-Methyl-2-butanethiol;-121300;
2146-38-5;1-ethylcyclopentene;-19800;
2159-75-3;Azobutane;9200;
4-1-2207;cis-1,2-dimethylcyclohexane;-172100;
6-3-2207;trans-1,3-dimethylcyclohexane;-176500;
7-4-2207;1,4-dimethylcyclohexane~|~trans-1,4-dimethylcyclohexane;-184500;
2213-32-3;2,4-dimethyl-1-pentene;-83800;
4-7-2229;Methyl;145700;194.2
2264-21-3;Trifluoromethyl;-477000;264.5
2307-10-0;S-Propyl thioacetate;-250400;
2314-97-8;r13i1~|~trifluoroiodomethane~|~iodotrifluoromethane;-587800;307.4
2406-52-2;Stannane;162800;227.7
2465-56-7;Methylene;390400;194.9
2516-34-9;Cyclobutanamine;41200;
2532-58-3;(z)-1,3-dimethylcyclopentane~|~1,cis-3-dimethylcyclopentane~|~cis-1,3-dimethylcyclopentane;-135800;
2551-62-4;sulfur hexafluoride;-1220500;291.5
2597-44-6;Oxomethyl (HCO);43100;224.7
2691-41-0;hmx;187900;568.8
2696-92-6;nitrosyl chloride;51700;261.7
2781-85-3;Cyclopropene;277100;
2782-91-4;Tetramethylthiourea;44900;
2944-5-0;carbon sulfide~|~carbon monosulfide;280300;210.6
3000-79-1;2-Methylpiperidine, (±)-;-84400;
3-4-3019;Iodoacetone;-130500;
3047-38-9;1-Cyclopentenecarbonitrile;156500;
3129-90-6;Isothiocyanic acid;127600;247.8
3153-36-4;Ethyl 4-chlorobutanoate;-513800;
3170-80-7;Trichloromethyl;59000;
3170-83-0;Hydroperoxy;10500;229.0
3315-37-5;Methylidyne;595800;
3352-57-6;Hydroxyl;39000;183.7
3386-33-2;1-chlorooctadecane;-446000;
3-9-3452;1-nonyne;62300;
3524-73-0;5-methyl-1-hexene;-65700;
3524-75-2;Allylcyclopentane;-24100;
3638-64-0;Nitroethene;33300;300.5
6-7-3657;Butyl trichloroacetate;-492300;
8-7-3744;Difluoroamidogen;43100;249.9
3877-15-4;2-thiapentane~|~methylpropyl sulfide~|~1-(methylthio)-propane~|~methyl-n-propyl sulfide~|~methyl n-propyl sulfide;-82200;
3899-36-3;(e)-3-methyl-3-hexene;-76800;
3938-95-2;ethyltrimethylacetate~|~ethyl 2,2-dimethylpropanoate~|~2,2-dimethylpropanoic acid ethyl ester;-536000;
4050-45-7;trans-2-hexene;-53900;
4110-50-3;3-thiahexane~|~ethyln-propylsulfide~|~ethyl propyl sulfide;-104800;
